Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1	(1.0, 2.5265035657340706)	(2.0, 0.33119690079237474)	(3.0, 0.09080296452821233)	(4.0, 0.03233389240513155)	(5.0, 0.01897355062718546)	(6.0, 0.011466030594845888)	(7.0, 0.008026221416392122)	(8.0, 0.004368011655179386)	(9.0, 0.0073710196681152146)	('>10', 0.2193560853085398)	('>50', 0.3098558267892877)	('>100', 69.2703039341722)	('>500', 13.334420280276028)	('>1k', 3.279912651801356)	('>5k', 0.326317770714745)	('>10k+', 10.228791293516327)
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1	(1.0, 1.6995609373992502)	(2.0, 0.3485947827557166)	(3.0, 0.13770668207880543)	(4.0, 0.06585285401149382)	(5.0, 0.03502174508793081)	(6.0, 0.021312378207356184)	(7.0, 0.01313065998168574)	(8.0, 0.0127714625961685)	(9.0, 0.009339132023448216)	('>10', 0.17121742042988397)	('>50', 0.12264595174383063)	('>100', 8.42904558100937)	('>500', 50.55074605730485)	('>1k', 20.44058619729554)	('>5k', 0.22787083029007518)	('>10k+', 17.7145973277846)
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1	(1.0, 1.574138496988448)	(2.0, 0.30170161491718994)	(3.0, 0.11559696970800837)	(4.0, 0.05593662889932338)	(5.0, 0.03136822532342664)	(6.0, 0.019549487524148475)	(7.0, 0.014166295307353966)	(8.0, 0.011333036245883173)	(9.0, 0.01202111344652608)	('>10', 0.14152129012046613)	('>50', 0.15457451936795658)	('>100', 16.574160758309645)	('>500', 39.75392335548537)	('>1k', 16.07180368914615)	('>5k', 0.3444635891806741)	('>10k+', 24.823740930029427)
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1	(1.0, 1.9114089719492375)	(2.0, 0.36638963190316964)	(3.0, 0.1504601752246487)	(4.0, 0.07924335682297659)	(5.0, 0.04666620541466292)	(6.0, 0.02643274053103728)	(7.0, 0.023854867022205115)	(8.0, 0.015517431070717009)	(9.0, 0.01275128031463267)	('>10', 0.16728465365149053)	('>50', 0.1409387543770775)	('>100', 1.1262618938218016)	('>500', 51.10488822025165)	('>1k', 23.151754155916233)	('>5k', 0.6849427808160293)	('>10k+', 20.991204880912434)
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1	(1.0, 2.025725314616427)	(2.0, 0.38846360612849185)	(3.0, 0.14034556279309093)	(4.0, 0.06475955702822953)	(5.0, 0.036966436657101545)	(6.0, 0.019948751616140008)	(7.0, 0.016230234319271807)	(8.0, 0.01014936485733439)	(9.0, 0.009843134021121714)	('>10', 0.18246983112043852)	('>50', 0.11116179354520121)	('>100', 14.133712393666354)	('>500', 46.54918697291785)	('>1k', 20.653695001101585)	('>5k', 0.388475689366937)	('>10k+', 15.268866356244427)
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1	(1.0, 1.390913764189343)	(2.0, 0.32286812232962253)	(3.0, 0.17033531934975518)	(4.0, 0.09396357752627188)	(5.0, 0.059253937621668085)	(6.0, 0.04408492959052105)	(7.0, 0.027098800805642875)	(8.0, 0.022332150712522016)	(9.0, 0.016828118284553738)	('>10', 0.2080471587605235)	('>50', 0.12756714392860455)	('>100', 0.5213293107371295)	('>500', 8.667586990047445)	('>1k', 61.54622228495824)	('>5k', 0.6287501158743669)	('>10k+', 26.152818275283785)
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1	(1.0, 1.9298856367663666)	(2.0, 0.2675790865895829)	(3.0, 0.12526838022157938)	(4.0, 0.07185938090230135)	(5.0, 0.04624733804692029)	(6.0, 0.030443129611988477)	(7.0, 0.02328146833963074)	(8.0, 0.019615668840898475)	(9.0, 0.017697800228978947)	('>10', 0.22138030217840743)	('>50', 0.17229257644041643)	('>100', 0.6844848799122927)	('>500', 19.403780774508174)	('>1k', 35.650191446985744)	('>5k', 1.4307785381277134)	('>10k+', 39.905213592299006)
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1	(1.0, 1.378274264253166)	(2.0, 0.3409968861488811)	(3.0, 0.18205472640451145)	(4.0, 0.10921745310283322)	(5.0, 0.06941461367979365)	(6.0, 0.048917112798170376)	(7.0, 0.03136156091738045)	(8.0, 0.025381520791503496)	(9.0, 0.018170861475735458)	('>10', 0.21568524145325357)	('>50', 0.12235046726995209)	('>100', 0.5605662694202285)	('>500', 1.0478722401922536)	('>1k', 59.611828096343636)	('>5k', 1.028047734180102)	('>10k+', 35.209860951568594)
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1	(1.0, 1.3309130262235445)	(2.0, 0.33066184319073505)	(3.0, 0.163081521301553)	(4.0, 0.10033039405744147)	(5.0, 0.06337596065906001)	(6.0, 0.04552357737481775)	(7.0, 0.035240604603094215)	(8.0, 0.026707165393226415)	(9.0, 0.018959231047865274)	('>10', 0.26116251506517996)	('>50', 0.1397127515824799)	('>100', 0.655718038030218)	('>500', 1.8719830588023585)	('>1k', 52.77667936030627)	('>5k', 1.5572098367345992)	('>10k+', 40.62274111562756)
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1	(1.0, 2.1264610730423983)	(2.0, 0.20277050641236827)	(3.0, 0.0440995973670907)	(4.0, 0.015138073170275039)	(5.0, 0.011751925224292463)	(6.0, 0.011473065981682134)	(7.0, 0.009760073491361538)	(8.0, 0.00892349576353055)	(9.0, 0.007529199550478901)	('>10', 0.5472811821401012)	('>50', 28.182750006274333)	('>100', 59.529636164378765)	('>500', 4.266546411938044)	('>1k', 0.4720688607046295)	('>5k', 0.7809253904128989)	('>10k+', 3.7828849741477564)
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1	(1.0, 2.2594529158478363)	(2.0, 0.2411993036490157)	(3.0, 0.05677966928204654)	(4.0, 0.020237090930369777)	(5.0, 0.012952957297299934)	(6.0, 0.008960398695073365)	(7.0, 0.009600427173292892)	(8.0, 0.008533713042927016)	(9.0, 0.010423320931003711)	('>10', 0.33857506497812934)	('>50', 9.951802807835412)	('>100', 66.75564078432139)	('>500', 6.352739809527525)	('>1k', 1.5358854824473713)	('>5k', 0.20014604840322037)	('>10k+', 12.237070205638103)
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1	(1.0, 2.2288566513026744)	(2.0, 0.26567950137137836)	(3.0, 0.06749231715176832)	(4.0, 0.026516430245715733)	(5.0, 0.014404200555796842)	(6.0, 0.007940038407717814)	(7.0, 0.008818725385173597)	(8.0, 0.00520724737029298)	(9.0, 0.006425071352055048)	('>10', 0.1379290644171556)	('>50', 0.19613265195930132)	('>100', 68.21023723063261)	('>500', 19.294279300569283)	('>1k', 4.62819306393032)	('>5k', 0.15098917677329365)	('>10k+', 4.75089932857545)
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1	(1.0, 1.9860920116684662)	(2.0, 0.23205295420287278)	(3.0, 0.05425819983725352)	(4.0, 0.022839636219725176)	(5.0, 0.013923177252172366)	(6.0, 0.009282118168114912)	(7.0, 0.008663310290240584)	(8.0, 0.00832577872049095)	(9.0, 0.008100757673991195)	('>10', 0.23540014226955666)	('>50', 1.50899113782736)	('>100', 73.13259955845245)	('>500', 10.149996216833655)	('>1k', 2.4065157094224467)	('>5k', 0.0)	('>10k+', 10.222959291161201)
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1	(1.0, 1.7152033431205291)	(2.0, 0.31687350232319417)	(3.0, 0.11012346624584993)	(4.0, 0.05361396914768267)	(5.0, 0.026036400522502685)	(6.0, 0.016532530555992738)	(7.0, 0.010461262272718569)	(8.0, 0.008966796233758774)	(9.0, 0.010297805049707343)	('>10', 0.1768140132344308)	('>50', 0.14575714086229757)	('>100', 45.2337041321519)	('>500', 23.805466289749877)	('>1k', 9.575370826061432)	('>5k', 0.5065772851436532)	('>10k+', 18.288201237324476)
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1	(1.0, 2.2656393028649897)	(2.0, 0.2952511541252355)	(3.0, 0.0839125667727774)	(4.0, 0.034810763045522636)	(5.0, 0.01979207263457809)	(6.0, 0.013097695125823736)	(7.0, 0.007945935042999733)	(8.0, 0.007916829053831237)	(9.0, 0.0075966631729777676)	('>10', 0.21206623708167052)	('>50', 0.21192070713582806)	('>100', 58.84934128780613)	('>500', 19.56545340291217)	('>1k', 3.411571202417893)	('>5k', 0.21320137065924194)	('>10k+', 14.800482810148328)
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1	(1.0, 2.0090865589956937)	(2.0, 0.29798350260285145)	(3.0, 0.08999380395445691)	(4.0, 0.03626093873429506)	(5.0, 0.023422551444931654)	(6.0, 0.01447075887448948)	(7.0, 0.009643693607817206)	(8.0, 0.007974858070623973)	(9.0, 0.006035517585267689)	('>10', 0.13622507558820404)	('>50', 0.1402306293009493)	('>100', 48.30159474650972)	('>500', 21.72668520293052)	('>1k', 9.153977085720594)	('>5k', 0.3508393810751551)	('>10k+', 17.695575695004433)
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1	(1.0, 2.168710303829488)	(2.0, 0.3803015844642106)	(3.0, 0.13105900998029874)	(4.0, 0.05679016644782339)	(5.0, 0.030906511689755178)	(6.0, 0.018098620132375714)	(7.0, 0.0133607718795244)	(8.0, 0.008820576536118665)	(9.0, 0.0061409418884564165)	('>10', 0.1591046311499221)	('>50', 0.11076439628438055)	('>100', 22.002994786339343)	('>500', 38.631563199940366)	('>1k', 22.81421146024834)	('>5k', 0.0)	('>10k+', 13.4671730391896)
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1	(1.0, 0.767651161978909)	(2.0, 0.18326129268724248)	(3.0, 0.09609933303722643)	(4.0, 0.06680460915692583)	(5.0, 0.05047960894628067)	(6.0, 0.04107580698162332)	(7.0, 0.04181306505565245)	(8.0, 0.034786544227660476)	(9.0, 0.03480159031080393)	('>10', 0.31817952023457446)	('>50', 0.10276474786977555)	('>100', 0.48817016758929244)	('>500', 0.2822494736880116)	('>1k', 34.17555288337119)	('>5k', 8.960273525754682)	('>10k+', 54.35603666911015)
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1	(1.0, 1.0121739116408468)	(2.0, 0.16610136820910948)	(3.0, 0.09284981799016136)	(4.0, 0.06573081577587969)	(5.0, 0.04466066163913299)	(6.0, 0.03665601934986175)	(7.0, 0.0304861943107761)	(8.0, 0.02274366877153138)	(9.0, 0.01524309715538805)	('>10', 0.3547851025743494)	('>50', 0.14618049520709442)	('>100', 0.6849110678192813)	('>500', 0.5870003802709158)	('>1k', 27.177131644306762)	('>5k', 1.7325917176752585)	('>10k+', 67.83075403730365)
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1	(1.0, 0.7925901659282596)	(2.0, 0.1901353261333331)	(3.0, 0.09607302138127405)	(4.0, 0.07012987267749969)	(5.0, 0.054926893285873885)	(6.0, 0.042519300427547015)	(7.0, 0.03364272213759775)	(8.0, 0.026286441786811075)	(9.0, 0.022730906283930843)	('>10', 0.3046480902605791)	('>50', 0.14795931878882276)	('>100', 0.7559558897813419)	('>500', 0.4403469417980907)	('>1k', 35.66851914153189)	('>5k', 0.5621424234726156)	('>10k+', 60.791393544324535)
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1	(1.0, 0.8308159471632752)	(2.0, 0.19441750240666547)	(3.0, 0.10363457819639599)	(4.0, 0.06908971879759732)	(5.0, 0.046985840231233145)	(6.0, 0.03841001849237054)	(7.0, 0.03246733638600377)	(8.0, 0.02918195115646768)	(9.0, 0.02130668950331498)	('>10', 0.3913956727128223)	('>50', 0.21371914063019)	('>100', 0.8874163706397684)	('>500', 1.6540223623610808)	('>1k', 25.513456189025607)	('>5k', 1.6655695251531266)	('>10k+', 68.30811115714408)
