Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1	(1, 39.04447349153731)	(2, 39.087663919842726)	(3, 39.219577444191394)	(4, 39.284723092232404)	(5, 39.32466572951684)	(6, 39.3518813417788)	(7, 39.341185734299444)	(8, 39.398119253665435)	(9, 39.40303929026858)	(10, 39.444516554064194)	(15, 39.46691678500128)	(20, 39.5323189504176)	(25, 39.435364052221885)	(30, 39.441521374304344)	(35, 39.570860435969976)	(40, 39.47297292919977)	(45, 39.49341424388348)	(50, 39.67696064304166)	(55, 39.59232029373979)	(60, 39.49567931374338)	(65, 39.15955804700009)	(70, 37.63609921148893)	(75, 36.76409609421928)	(80, 36.12631225190816)	(85, 36.24192603820465)	(90, 35.78440969802403)	(95, 36.363120423117905)	(100, 37.2891924966405)	(105, 37.37030614884296)	(110, 37.38356816859932)	(115, 37.80121542076709)	(120, 38.322387702790444)	(125, 38.739704983582406)	(130, 39.02171151632017)	(135, 39.1456505180603)	(140, 39.169140221400454)	(145, 39.25252499317621)	(150, 38.33388844614302)
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1	(1, 39.139515804612216)	(2, 39.14848451000254)	(3, 39.27677878185645)	(4, 39.346023523461334)	(5, 39.37611101749744)	(6, 39.4087861632867)	(7, 39.414333706301115)	(8, 39.459699133252734)	(9, 39.47715096674396)	(10, 39.501985159032024)	(15, 39.53193943338211)	(20, 39.57262174321155)	(25, 39.476358694687406)	(30, 39.416597403171984)	(35, 39.54017463850027)	(40, 39.46670892481772)	(45, 39.483747116372776)	(50, 39.683072278643806)	(55, 39.607111549775354)	(60, 39.51419215697091)	(65, 39.24346856214775)	(70, 37.95339408420479)	(75, 37.596590034850685)	(80, 37.2741323583189)	(85, 37.32954803350756)	(90, 36.864015527549135)	(95, 37.24639185759532)	(100, 37.90127607417589)	(105, 37.9695241533736)	(110, 38.05563819958428)	(115, 38.602980592475305)	(120, 38.840151889013086)	(125, 39.051892208396225)	(130, 39.22973273312557)	(135, 39.30229676965475)	(140, 39.29747305906319)	(145, 39.355982118302244)	(150, 38.385647231103384)
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1	(1, 39.21723955948358)	(2, 39.190857658207705)	(3, 39.397617244747195)	(4, 39.45296791899989)	(5, 39.493239715114896)	(6, 39.53129356554323)	(7, 39.499079879764835)	(8, 39.55589069494368)	(9, 39.51930935613532)	(10, 39.585517030155565)	(15, 39.62678618353121)	(20, 39.62136730086425)	(25, 39.45524496467868)	(30, 39.53532589295958)	(35, 39.64816852875538)	(40, 39.622893205995)	(45, 39.60852049494747)	(50, 39.754118692816725)	(55, 39.68829850085149)	(60, 39.6270994015178)	(65, 39.368407003807974)	(70, 38.86219928988227)	(75, 38.345532832719286)	(80, 36.767882925349845)	(85, 36.025052211311404)	(90, 36.241257301452855)	(95, 36.84395235686658)	(100, 37.53022956615778)	(105, 37.611144758068136)	(110, 37.85592814622159)	(115, 38.456974387675594)	(120, 38.790310993256966)	(125, 39.13026520173709)	(130, 39.34109634276399)	(135, 39.503280129373515)	(140, 39.45586681152351)	(145, 39.45787876520522)	(150, 38.85338114007915)
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1	(1, 39.14838971721241)	(2, 39.177144058675985)	(3, 39.38993415910692)	(4, 39.4744828593898)	(5, 39.496052055873484)	(6, 39.53329868662252)	(7, 39.4963819281785)	(8, 39.584014630949795)	(9, 39.54819636751903)	(10, 39.6042864376341)	(15, 39.66061183015179)	(20, 39.64262383264667)	(25, 39.47751865599904)	(30, 39.5790701486611)	(35, 39.6669569947702)	(40, 39.6162261555953)	(45, 39.6365782244613)	(50, 39.763887158577106)	(55, 39.7013242248102)	(60, 39.534887456878806)	(65, 39.16757800468135)	(70, 37.94633641389544)	(75, 36.97170764166396)	(80, 34.6568619713088)	(85, 33.91013796757376)	(90, 33.866763159375274)	(95, 34.435577638786185)	(100, 35.78510284528018)	(105, 35.78446876190222)	(110, 35.93857312216649)	(115, 36.9173941059307)	(120, 37.713712083404666)	(125, 38.55832194970318)	(130, 39.00620394689177)	(135, 39.28802810431089)	(140, 39.34132753567579)	(145, 39.380908933792)	(150, 38.88402681396376)
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1	(1, 39.06064334861555)	(2, 39.13340916895821)	(3, 39.24315209865323)	(4, 39.32080220931609)	(5, 39.36812592980466)	(6, 39.400327213766694)	(7, 39.36972999811534)	(8, 39.45819123276625)	(9, 39.43834956124757)	(10, 39.5066208576376)	(15, 39.547279643979024)	(20, 39.56114580735046)	(25, 39.30721532629669)	(30, 39.4366189056057)	(35, 39.562407907969195)	(40, 39.529851047671855)	(45, 39.51076303899196)	(50, 39.67496334676962)	(55, 39.60501202293326)	(60, 39.51941843934124)	(65, 39.17119875474176)	(70, 38.51820663007042)	(75, 37.3144892135501)	(80, 35.56958980214076)	(85, 35.15295262928927)	(90, 35.04861088256936)	(95, 35.66038330226195)	(100, 36.628871275875994)	(105, 36.795467311213336)	(110, 36.943147904900506)	(115, 37.324964601526965)	(120, 37.7065432816334)	(125, 38.337809914536706)	(130, 38.81120257459364)	(135, 39.06131754910354)	(140, 39.130436455130294)	(145, 39.21727351166832)	(150, 38.196444977711636)
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1	(1, 39.114491463126484)	(2, 39.147185807174296)	(3, 39.27403276479185)	(4, 39.34625423343164)	(5, 39.38263439778068)	(6, 39.43526175078105)	(7, 39.42384876913248)	(8, 39.483534685697784)	(9, 39.50530633855201)	(10, 39.54181492793321)	(15, 39.6170250899194)	(20, 39.6006978270572)	(25, 39.305979486999966)	(30, 39.49016889970159)	(35, 39.60159382684718)	(40, 39.521035407678376)	(45, 39.542340223507686)	(50, 39.713153786241236)	(55, 39.64347259536707)	(60, 39.500520657396144)	(65, 39.31730893768214)	(70, 38.55122706070763)	(75, 37.70306286044334)	(80, 36.591169783580845)	(85, 36.55692655050801)	(90, 36.38747814367851)	(95, 36.644892665552334)	(100, 37.505536234674324)	(105, 37.63920267089061)	(110, 37.681682871119904)	(115, 37.818401885025686)	(120, 38.056123883117905)	(125, 38.584889121283986)	(130, 38.980303713168055)	(135, 39.177580839947844)	(140, 39.23299232512754)	(145, 39.30794537451102)	(150, 38.25875084231069)
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1	(1, 39.18526283466624)	(2, 39.16139166168056)	(3, 39.37925996308875)	(4, 39.44593512720898)	(5, 39.473526657424806)	(6, 39.50134282590192)	(7, 39.49778521948712)	(8, 39.552113969813675)	(9, 39.53887268988648)	(10, 39.576512950540604)	(15, 39.63259335260359)	(20, 39.61868863925571)	(25, 39.534126897179405)	(30, 39.543755846388514)	(35, 39.65269708123004)	(40, 39.58466908387619)	(45, 39.60276555244685)	(50, 39.746970306666775)	(55, 39.68090485239712)	(60, 39.600791685276796)	(65, 39.331815730261326)	(70, 39.197735288169014)	(75, 38.036049726957856)	(80, 36.623510751034445)	(85, 36.18650453384796)	(90, 36.087752342769015)	(95, 36.57994762478616)	(100, 37.36991169319839)	(105, 37.426225213419514)	(110, 37.54036467770071)	(115, 38.047865225470446)	(120, 38.48170570228294)	(125, 38.9709893248106)	(130, 39.26088176179601)	(135, 39.40611411096972)	(140, 39.41463856678156)	(145, 39.41478130293352)	(150, 38.86412018700016)
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1	(1, 38.99421993243276)	(2, 39.13619974577316)	(3, 39.332828375521586)	(4, 39.42038441855565)	(5, 39.41652319067304)	(6, 39.43952499007078)	(7, 39.37881061071734)	(8, 39.48326064854062)	(9, 39.429570280902205)	(10, 39.502417194201925)	(15, 39.4851810419416)	(20, 39.53355070796056)	(25, 39.4555128283561)	(30, 39.48247942054149)	(35, 39.56520670739346)	(40, 39.49958578893346)	(45, 39.528329201418934)	(50, 39.644055481268495)	(55, 39.59011603347871)	(60, 39.54600927957087)	(65, 39.46676154047091)	(70, 37.228465540028104)	(75, 36.746637417956485)	(80, 31.99833582413485)	(85, 30.680516736923778)	(90, 30.623233157472065)	(95, 30.917050774479044)	(100, 33.81583499143999)	(105, 33.986394494406134)	(110, 34.26258947221227)	(115, 35.57846903588988)	(120, 36.76658781556222)	(125, 38.13754735193326)	(130, 38.76564194218427)	(135, 39.07257826603314)	(140, 39.17896734185352)	(145, 39.22664094295045)	(150, 38.735984507505904)
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1	(1, 38.953277427329056)	(2, 39.08477389487513)	(3, 39.232584527194184)	(4, 39.32783560619725)	(5, 39.36217911123913)	(6, 39.391495152321816)	(7, 39.38509208684941)	(8, 39.48348739788264)	(9, 39.471491360476435)	(10, 39.53812104447265)	(15, 39.57833279557839)	(20, 39.607423018039725)	(25, 39.48539081965775)	(30, 39.521051664085576)	(35, 39.61744864183866)	(40, 39.554784782009264)	(45, 39.57043422013546)	(50, 39.701518584080326)	(55, 39.64325603378357)	(60, 39.53360859464442)	(65, 38.943130741367305)	(70, 38.67074341320693)	(75, 35.50468915905253)	(80, 33.04777552121529)	(85, 32.89433707505661)	(90, 32.6694937194196)	(95, 33.34938590179582)	(100, 35.29349740820062)	(105, 35.53467584913685)	(110, 35.56140601318993)	(115, 35.84923549705671)	(120, 36.43499492561868)	(125, 37.64465743984291)	(130, 38.40741936463901)	(135, 38.792639551254716)	(140, 38.99032633328936)	(145, 39.11875559787518)	(150, 38.25010258364653)
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1	(1, 38.864662689036656)	(2, 39.10116624264281)	(3, 39.21367499700526)	(4, 39.321654244680836)	(5, 39.36316549891252)	(6, 39.3943134446477)	(7, 39.344479409328905)	(8, 39.47389704851903)	(9, 39.451713855573864)	(10, 39.53933835140025)	(15, 39.528871856128355)	(20, 39.597781234395896)	(25, 39.468408726030724)	(30, 39.52414461644422)	(35, 39.614361314028244)	(40, 39.52539378340739)	(45, 39.55706719619216)	(50, 39.70393357628046)	(55, 39.639979626860196)	(60, 39.57375392596224)	(65, 39.516058557959454)	(70, 37.371069748725915)	(75, 35.6850857441043)	(80, 30.931060344090405)	(85, 29.970473122076562)	(90, 30.21170248717619)	(95, 30.13736812667623)	(100, 33.386253522052066)	(105, 33.933332059863325)	(110, 34.12351824772431)	(115, 34.53204354624741)	(120, 35.37600104115099)	(125, 37.07490735059385)	(130, 38.05995572965993)	(135, 38.67441262534827)	(140, 38.94791874237815)	(145, 39.09382395015043)	(150, 38.21694216167011)
