Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1	(1, 39.35125349221405)	(2, 39.2325933072985)	(3, 39.45084090004609)	(4, 39.48701173240508)	(5, 39.517641631613394)	(6, 39.5581515137874)	(7, 39.54859620265418)	(8, 39.58180156615318)	(9, 39.57914204571937)	(10, 39.6115717024795)	(15, 39.61518492152303)	(20, 39.6439775366929)	(25, 39.446294060258296)	(30, 39.57337977800414)	(35, 39.68120046513722)	(40, 39.59727578422191)	(45, 39.6284159958442)	(50, 39.780774965770036)	(55, 39.71812804180658)	(60, 39.65946681316072)	(65, 39.60717927103804)	(70, 39.49848981785313)	(75, 39.45190574398252)	(80, 39.098792658990604)	(85, 38.832458419099154)	(90, 38.89457590887199)	(95, 39.07733364353104)	(100, 39.206664417202106)	(105, 39.27614355195765)	(110, 39.323712237976885)	(115, 39.383084796713604)	(120, 39.4146570808138)	(125, 39.45894295615496)	(130, 39.54905767486367)	(135, 39.65812470346308)	(140, 39.555164612602766)	(145, 39.55725741138152)	(150, 39.05536391728716)
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1	(1, 39.259621151904966)	(2, 39.34170724244035)	(3, 39.427675258083866)	(4, 39.46881476478649)	(5, 39.5158151036968)	(6, 39.53421988452667)	(7, 39.53266735830379)	(8, 39.58000325500198)	(9, 39.565052494526235)	(10, 39.58202806128669)	(15, 39.64095859198611)	(20, 39.64044108324516)	(25, 39.49931303610005)	(30, 39.54331603021423)	(35, 39.660361817242006)	(40, 39.56611323505747)	(45, 39.61094911956464)	(50, 39.75046807416041)	(55, 39.694159648703604)	(60, 39.59933851532899)	(65, 39.38218642261873)	(70, 38.76990415421151)	(75, 36.934213179466425)	(80, 36.27381997035145)	(85, 36.475945169674596)	(90, 36.18359015745919)	(95, 36.52291820070318)	(100, 37.47158078500407)	(105, 37.613386713740255)	(110, 37.64188474367164)	(115, 37.75012300737801)	(120, 38.15323476488401)	(125, 38.71956756018706)	(130, 39.14423498919875)	(135, 39.297327180119865)	(140, 39.31658246736464)	(145, 39.356638984927024)	(150, 37.86191111284494)
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1	(1, 39.27378991263465)	(2, 39.26343434368848)	(3, 39.39047671763416)	(4, 39.43889740478636)	(5, 39.464862959745766)	(6, 39.50472490785743)	(7, 39.50435841326291)	(8, 39.53521776131767)	(9, 39.55678076851065)	(10, 39.58282008365218)	(15, 39.58220186513879)	(20, 39.63270985222594)	(25, 39.355499211554395)	(30, 39.536422245383235)	(35, 39.64386650958558)	(40, 39.54546652686198)	(45, 39.577396886179734)	(50, 39.74724146773118)	(55, 39.679522785459554)	(60, 39.595848295559016)	(65, 39.54943821284824)	(70, 39.45376760846133)	(75, 39.28564261619273)	(80, 38.880255187586314)	(85, 38.77867307570944)	(90, 38.763997776711285)	(95, 38.93712370094126)	(100, 39.101846415701736)	(105, 39.18509348232974)	(110, 39.1932738177981)	(115, 39.22685906374888)	(120, 39.21097802269457)	(125, 39.31474002261447)	(130, 39.481168111364035)	(135, 39.53315012796909)	(140, 39.47494969610092)	(145, 39.5080237785383)	(150, 38.58236703930445)
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1	(1, 39.30837334254419)	(2, 39.243021886390814)	(3, 39.457410407167146)	(4, 39.50324185008929)	(5, 39.53486377647759)	(6, 39.57484157815136)	(7, 39.558967187149726)	(8, 39.608232451241456)	(9, 39.58945078831905)	(10, 39.59869909707492)	(15, 39.67652420115419)	(20, 39.663861423038725)	(25, 39.582563400383044)	(30, 39.59065650734145)	(35, 39.697196997206646)	(40, 39.6209742679995)	(45, 39.650464457503794)	(50, 39.78562171768128)	(55, 39.725016574206464)	(60, 39.65695462703746)	(65, 39.50079761522694)	(70, 39.10558077510187)	(75, 38.05771171034841)	(80, 37.47296886861949)	(85, 37.27341300391002)	(90, 37.08436292181953)	(95, 37.48936699610685)	(100, 38.074963117644096)	(105, 38.11554774482501)	(110, 38.17570537769361)	(115, 38.56344105559623)	(120, 38.895217430805324)	(125, 39.204517635040055)	(130, 39.39949572783479)	(135, 39.56150334310956)	(140, 39.498629537443925)	(145, 39.49616055026647)	(150, 38.848955466365965)
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1	(1, 39.2359981375217)	(2, 39.1980258570646)	(3, 39.40897487569078)	(4, 39.47677506371329)	(5, 39.50560261307387)	(6, 39.54833336680315)	(7, 39.50133054179531)	(8, 39.57623504775052)	(9, 39.55763641789567)	(10, 39.58854365685565)	(15, 39.62678213907594)	(20, 39.63619853607711)	(25, 39.582280489792566)	(30, 39.547108184863575)	(35, 39.63793613305978)	(40, 39.58628734005127)	(45, 39.60021156034863)	(50, 39.75521524280636)	(55, 39.69667131040854)	(60, 39.607049489709894)	(65, 39.30497358297767)	(70, 37.316439546747134)	(75, 35.92419138879328)	(80, 35.78405344023747)	(85, 35.703863194710706)	(90, 34.92740785332563)	(95, 35.63686969143479)	(100, 36.66383919919038)	(105, 36.739653648155056)	(110, 36.80908882872625)	(115, 37.61362429964418)	(120, 38.32650010531315)	(125, 38.86900622211595)	(130, 39.155609174713824)	(135, 39.39907501892601)	(140, 39.41641115189239)	(145, 39.44973741764675)	(150, 38.99627200776375)
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1	(1, 39.20580233715272)	(2, 39.16554380611453)	(3, 39.37016182056798)	(4, 39.42888897491326)	(5, 39.45875695887818)	(6, 39.49659066995875)	(7, 39.4667372389884)	(8, 39.525092418792106)	(9, 39.507791818830356)	(10, 39.552220539572644)	(15, 39.61841611610263)	(20, 39.586118480585874)	(25, 39.297734593545044)	(30, 39.51682259230164)	(35, 39.62440042389962)	(40, 39.55112266166121)	(45, 39.5769554494998)	(50, 39.71674185228768)	(55, 39.658860168715776)	(60, 39.59939145197846)	(65, 39.60161509133896)	(70, 38.316778467622065)	(75, 37.23859628799678)	(80, 36.48198167545134)	(85, 36.34022910488314)	(90, 36.3114612690968)	(95, 36.12216633548901)	(100, 37.38276407354618)	(105, 37.42714901888077)	(110, 37.453649672746806)	(115, 37.829182305072095)	(120, 38.41438470375488)	(125, 38.95236647700234)	(130, 39.21316050585045)	(135, 39.403146357429115)	(140, 39.40071787011685)	(145, 39.40571123540663)	(150, 38.69488831886426)
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1	(1, 39.091284235139966)	(2, 39.15247919151408)	(3, 39.289271526534776)	(4, 39.36487071500835)	(5, 39.398969846472376)	(6, 39.4362521016616)	(7, 39.428343338660255)	(8, 39.50220961778263)	(9, 39.512028472198345)	(10, 39.54830909673344)	(15, 39.578663044599566)	(20, 39.61441824016042)	(25, 39.527722206034326)	(30, 39.49190641746556)	(35, 39.59525600907809)	(40, 39.523306372943814)	(45, 39.539775943417574)	(50, 39.712515243267895)	(55, 39.646383657986135)	(60, 39.53841021176786)	(65, 39.187956361451405)	(70, 37.08501904842916)	(75, 36.04259601584685)	(80, 35.5792897876892)	(85, 35.70992711826677)	(90, 35.10127270654199)	(95, 35.705002325627696)	(100, 36.88689312428625)	(105, 36.97114086064513)	(110, 37.066093940880194)	(115, 37.923392194940085)	(120, 38.49642233398909)	(125, 38.900295870517745)	(130, 39.1329957161395)	(135, 39.257061782064255)	(140, 39.286159565207164)	(145, 39.35040665002832)	(150, 38.48545930694485)
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1	(1, 39.107282651933396)	(2, 39.15552204153626)	(3, 39.28538173939974)	(4, 39.35945684917573)	(5, 39.39257176074322)	(6, 39.425866165925505)	(7, 39.4244265467386)	(8, 39.48789597829438)	(9, 39.49657459069513)	(10, 39.53947328498832)	(15, 39.60956482498411)	(20, 39.59260797406064)	(25, 39.126951901304025)	(30, 39.493995894891896)	(35, 39.61120833633363)	(40, 39.518554711121894)	(45, 39.542777330742936)	(50, 39.71381842167263)	(55, 39.64512689691718)	(60, 39.55819434666771)	(65, 39.57927766316442)	(70, 38.467428043509116)	(75, 37.126894784932745)	(80, 36.62410352814187)	(85, 36.62413778398267)	(90, 36.61863916225594)	(95, 36.51826175377321)	(100, 37.632081049319325)	(105, 37.784519540859876)	(110, 37.801600341999126)	(115, 38.03959328529593)	(120, 38.50871964949983)	(125, 38.92682574892706)	(130, 39.202592957418595)	(135, 39.313719604058406)	(140, 39.317507461131854)	(145, 39.35412954160791)	(150, 38.07384790266867)
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1	(1, 39.045464298052075)	(2, 39.235087977457354)	(3, 39.420486716715956)	(4, 39.52735964712722)	(5, 39.54928886192631)	(6, 39.58330700268783)	(7, 39.50646439916175)	(8, 39.618977654761004)	(9, 39.56397113077935)	(10, 39.63039245601428)	(15, 39.65411275655077)	(20, 39.661960943979224)	(25, 39.559058795278176)	(30, 39.6100453669499)	(35, 39.70044027848495)	(40, 39.64792406181654)	(45, 39.68055871523302)	(50, 39.78834079017214)	(55, 39.73914127188753)	(60, 39.598692495374834)	(65, 38.769521420205805)	(70, 34.60709669575978)	(75, 31.556339366210835)	(80, 30.8057025256957)	(85, 31.000092292674005)	(90, 29.773684791780266)	(95, 31.481627257965698)	(100, 33.78038755099117)	(105, 33.896767589773965)	(110, 33.976399947759994)	(115, 35.39852999767689)	(120, 37.15744444083338)	(125, 38.425956569781924)	(130, 38.92779234238626)	(135, 39.224797961195556)	(140, 39.32531226640956)	(145, 39.35477111296479)	(150, 38.881683921514814)
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1	(1, 38.85179676999578)	(2, 39.169355245218284)	(3, 39.36631622329282)	(4, 39.51586431385295)	(5, 39.50274234609009)	(6, 39.52195590712357)	(7, 39.407991173520884)	(8, 39.58894609306919)	(9, 39.49629044310232)	(10, 39.590090575451114)	(15, 38.84038436800223)	(20, 39.62007782044681)	(25, 39.5824645910515)	(30, 39.61080279908428)	(35, 39.65452742164625)	(40, 39.640118863897285)	(45, 39.66379147443091)	(50, 39.62375164881517)	(55, 39.67320787753583)	(60, 39.658077974490794)	(65, 39.55889779503357)	(70, 35.825817935318454)	(75, 36.81469128090809)	(80, 28.077772580249057)	(85, 24.416294588579536)	(90, 24.413029783318166)	(95, 25.129328444788737)	(100, 29.30526161066307)	(105, 29.88356777996388)	(110, 30.384286221812868)	(115, 33.004505907909916)	(120, 35.05382611820014)	(125, 37.132422551557354)	(130, 38.12140138905748)	(135, 38.66473690938543)	(140, 38.96228099641464)	(145, 39.08925708451168)	(150, 38.83617057912881)
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1	(1, 38.953298408983684)	(2, 39.191483487112286)	(3, 39.24974032330362)	(4, 39.34921390788171)	(5, 39.419281497385576)	(6, 39.4830408312793)	(7, 39.42082558063121)	(8, 39.56137737031614)	(9, 39.5443309070686)	(10, 39.62461671327279)	(15, 39.643637307915256)	(20, 39.68290827110737)	(25, 39.551205056805195)	(30, 39.632873647547854)	(35, 39.71046136628685)	(40, 39.65908422156332)	(45, 39.70013569885154)	(50, 39.78651343698168)	(55, 39.75302509864772)	(60, 39.61496409644771)	(65, 38.41674882814454)	(70, 32.5961623756666)	(75, 28.828592929928)	(80, 27.971904354623717)	(85, 28.177703163298634)	(90, 26.92329802645711)	(95, 28.402999106457145)	(100, 31.881291017393192)	(105, 32.07501390336987)	(110, 32.140602989396164)	(115, 33.43815903689615)	(120, 36.069659806363084)	(125, 37.66692376049129)	(130, 38.36514216747406)	(135, 38.749686279163974)	(140, 39.008474189754764)	(145, 39.12794253666125)	(150, 38.19666402494465)
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1	(1, 38.71857172708595)	(2, 39.036736646177296)	(3, 39.11197607466521)	(4, 39.26494143680042)	(5, 39.32475960522231)	(6, 39.36431081193706)	(7, 39.303775898075756)	(8, 39.49081336233813)	(9, 39.45784911143616)	(10, 39.5463175783812)	(15, 38.80447111941047)	(20, 39.600296216130026)	(25, 39.53990484461457)	(30, 39.567680457634836)	(35, 39.622860386829956)	(40, 39.59633351008384)	(45, 39.63297864861959)	(50, 39.585065363463855)	(55, 39.655720181807425)	(60, 39.62437026291537)	(65, 39.519410756496185)	(70, 36.19523454872456)	(75, 35.73104725277778)	(80, 27.432359111931383)	(85, 24.884314580467176)	(90, 25.05655950110459)	(95, 24.143454316839172)	(100, 27.827338946671677)	(105, 28.718004998133853)	(110, 28.882690054100145)	(115, 30.378382793278007)	(120, 32.05075562652417)	(125, 34.46302562238121)	(130, 35.97165335803814)	(135, 36.95826043683545)	(140, 37.7011028989901)	(145, 38.270337392152996)	(150, 37.94077440878164)
