Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09069806547314237)	(3, 4.763553858883528e-05)	(4, 0.01984020182224989)	(5, 0.01421920826876733)	(6, 0.0)	(7, 0.0)	(8, 4.763553858883528e-05)	(9, 0.0)	(10, 0.0020197468361666158)	(15, 0.0)	(20, 0.00013337950804873878)	(25, 0.0027723883458702133)	(30, 0.004396760211749496)	(35, 0.022541136860236854)	(40, 0.039580369013463235)	(45, 0.02859561381487782)	(50, 0.02548977669888576)	(55, 0.01922570337445392)	(60, 0.019706822314201154)	(65, 0.04594924052279051)	(70, 0.013423694774333781)	(75, 0.04289580249924617)	(80, 0.005282781229501833)	(85, 0.0028104967767412815)	(90, 0.00203880105160215)	(95, 0.004220508718970806)	(100, 0.002586609745373756)	(105, 0.006797591356626794)	(110, 0.0019482935282833626)	(115, 0.0005668629092071398)	(120, 0.04239086579020451)	(125, 0.0002572319083797105)	(130, 0.03791788871671288)	(135, 0.05229905781668225)	(140, 0.02023081323867834)	(145, 0.0009908192026477738)	(150, 0.1921379448980671)
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09239077446846629)	(3, 8.193092622092783e-05)	(4, 0.02012769754160794)	(5, 0.01622232339174371)	(6, 0.0)	(7, 0.0)	(8, 8.193092622092783e-05)	(9, 0.0)	(10, 0.0020482731555231956)	(15, 0.0)	(20, 0.00013108948195348453)	(25, 0.0028511962324882885)	(30, 0.004211249607755691)	(35, 0.022886038724379176)	(40, 0.03981843014337093)	(45, 0.028064073261541818)	(50, 0.026791412874243404)	(55, 0.018674789116623486)	(60, 0.019636111984282372)	(65, 0.04749808896114589)	(70, 0.013218189430309689)	(75, 0.04267508843760728)	(80, 0.0050961036109417115)	(85, 0.0029276650969611547)	(90, 0.0019772663527983917)	(95, 0.004047387755313834)	(100, 0.002419693354391402)	(105, 0.006980514914023052)	(110, 0.0019281077970658349)	(115, 0.0005571302983023093)	(120, 0.04120033176563057)	(125, 0.00018571009943410308)	(130, 0.038660473052781814)	(135, 0.053681142859951916)	(140, 0.020471807431735833)	(145, 0.0008957781266821443)	(150, 0.19147257457830835)
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.1595619976276202)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0015563130942796515)	(10, 1.197163918676655e-05)	(15, 1.197163918676655e-05)	(20, 0.00537925654125377)	(25, 0.0)	(30, 0.0009537405885457352)	(35, 0.0040982911482697485)	(40, 0.0005826197737559721)	(45, 0.004030451859544738)	(50, 0.0010335515164575121)	(55, 0.006983456192280487)	(60, 0.003914726014072662)	(65, 0.014960558437062597)	(70, 0.010989964773451693)	(75, 0.0055308973042861465)	(80, 0.0044574403238727455)	(85, 0.004054395137918272)	(90, 0.00029530043327357486)	(95, 0.01211130831061216)	(100, 0.0015682847334664181)	(105, 0.0010215798772707455)	(110, 4.3896010351477347e-05)	(115, 7.9810927911777e-05)	(120, 0.006460694614458348)	(125, 0.0002833287940868083)	(130, 0.0012410599290281323)	(135, 8.779202070295469e-05)	(140, 0.00010774475268089896)	(145, 0.003272248044382857)	(150, 0.0034917280961402437)
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.16273025795204749)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017809056957816414)	(10, 2.8332590614707934e-05)	(15, 2.023756472479138e-05)	(20, 0.00512010387537222)	(25, 0.0)	(30, 0.0009794981326799027)	(35, 0.003901802478939778)	(40, 0.0005868893770189501)	(45, 0.003958467660169194)	(50, 0.0009552130550101532)	(55, 0.006629826203841656)	(60, 0.003857279836545237)	(65, 0.014316053286317422)	(70, 0.01108209044329576)	(75, 0.0056705656358865455)	(80, 0.004411789110004521)	(85, 0.003869422375380112)	(90, 0.0003197535226517038)	(95, 0.011470651686011756)	(100, 0.0016432902556530603)	(105, 0.0011454461634231921)	(110, 4.857015533949932e-05)	(115, 6.476020711933242e-05)	(120, 0.006071269417437414)	(125, 0.0003399910873764952)	(130, 0.0013882969401206888)	(135, 7.690274595420725e-05)	(140, 4.857015533949932e-05)	(145, 0.003233962843021663)	(150, 0.0034606235679393257)
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09510892220049742)	(3, 0.00010105428248680443)	(4, 0.021036133137669787)	(5, 0.01472024048224451)	(6, 0.0)	(7, 0.0)	(8, 5.0527141243402214e-05)	(9, 0.0)	(10, 0.001970558508492686)	(15, 0.0)	(20, 0.00015831837589599357)	(25, 0.002859836194376565)	(30, 0.004338597194766803)	(35, 0.02247110394898241)	(40, 0.04018255119283633)	(45, 0.02865899451325773)	(50, 0.026415589442050677)	(55, 0.018839886731623238)	(60, 0.019496739567787465)	(65, 0.0468117121239707)	(70, 0.013254953386185845)	(75, 0.042762803872332736)	(80, 0.005153768406827026)	(85, 0.002691412390231891)	(90, 0.0018796096542545624)	(95, 0.004038802823389283)	(100, 0.0023949864949372648)	(105, 0.007131063867485498)	(110, 0.001963821556326899)	(115, 0.0005894833145063591)	(120, 0.04271564520717223)	(125, 0.00022905637363675668)	(130, 0.03901705846815518)	(135, 0.053508242576762934)	(140, 0.020503913916572615)	(145, 0.0008724353054694113)	(150, 0.193754744288033)
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09129772729261654)	(3, 8.751279874681672e-05)	(4, 0.02047799490675511)	(5, 0.015074079584139179)	(6, 0.0)	(7, 0.0)	(8, 4.375639937340836e-05)	(9, 0.0)	(10, 0.0020171700111141257)	(15, 0.0)	(20, 0.00018815251730565596)	(25, 0.0028441659592715433)	(30, 0.004279375858719337)	(35, 0.023050871189911525)	(40, 0.040369654061906554)	(45, 0.027667171323806104)	(50, 0.025671879512378686)	(55, 0.018277048018272672)	(60, 0.01905591192711934)	(65, 0.04695499216760451)	(70, 0.013083163412649099)	(75, 0.04276750474756933)	(80, 0.005447671721989341)	(85, 0.0029010492784569742)	(90, 0.0021178097296729644)	(95, 0.0041962386999098615)	(100, 0.002699769841339296)	(105, 0.00690913546106118)	(110, 0.002043423850738171)	(115, 0.0005425793522302637)	(120, 0.041625462723923375)	(125, 0.0002800409559898135)	(130, 0.03872003780552906)	(135, 0.05368035075129738)	(140, 0.021073081938233467)	(145, 0.0009538895063403022)	(150, 0.193031355835791)
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.15869521249252083)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0015537699198570742)	(10, 1.0534033354963215e-05)	(15, 1.580105003244482e-05)	(20, 0.005219613527384273)	(25, 0.0)	(30, 0.0011060735022711376)	(35, 0.00396606355814365)	(40, 0.0006478430513302377)	(45, 0.004329487708889882)	(50, 0.0011324085856585456)	(55, 0.006973530080985648)	(60, 0.004034534774950912)	(65, 0.01474237968027102)	(70, 0.010923792589096855)	(75, 0.005588304694807986)	(80, 0.00458757152608648)	(85, 0.004134608091823062)	(90, 0.0003370890673588229)	(95, 0.011555834590394647)	(100, 0.0018645239038284891)	(105, 0.001116607535626101)	(110, 4.213613341985286e-05)	(115, 0.00011587436690459535)	(120, 0.006330954046332891)	(125, 0.0003423560840363045)	(130, 0.0015801050032444822)	(135, 0.00010007331687215055)	(140, 0.00011060735022711377)	(145, 0.003534168190590159)	(150, 0.004239948425372694)
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.15792070025995616)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00189359179404713)	(10, 1.4566090723439462e-05)	(15, 4.855363574479821e-06)	(20, 0.005020445936012135)	(25, 0.0)	(30, 0.0010196263506407623)	(35, 0.003772617497370821)	(40, 0.0006311972646823766)	(45, 0.0038211711331156187)	(50, 0.0009225190791511659)	(55, 0.0064721996447816)	(60, 0.00379203895166874)	(65, 0.014303901090417551)	(70, 0.010225395687854502)	(75, 0.005234081933289246)	(80, 0.004199889491925045)	(85, 0.003801749678817699)	(90, 0.00029132181446878927)	(95, 0.011856797848879722)	(100, 0.0015488609802590627)	(105, 0.0009759280784704439)	(110, 4.855363574479821e-05)	(115, 0.00011652872578751569)	(120, 0.006044927650227377)	(125, 0.00027190036017086996)	(130, 0.0013837786187267489)	(135, 0.00012623945293647532)	(140, 8.739654434063676e-05)	(145, 0.0031511309598374034)	(150, 0.004321273581287041)
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09373857110498451)	(3, 5.768527452614431e-05)	(4, 0.02057441458099147)	(5, 0.015113541925849808)	(6, 0.0)	(7, 0.0)	(8, 1.9228424842048107e-05)	(9, 0.0)	(10, 0.002038213033257099)	(15, 0.0)	(20, 0.0001461360287995656)	(25, 0.002761201807318108)	(30, 0.004368698124113329)	(35, 0.022939510836563388)	(40, 0.04007588305579666)	(45, 0.028238864723031845)	(50, 0.026939023203709396)	(55, 0.018978455319101476)	(60, 0.019559153749331332)	(65, 0.04705195558849171)	(70, 0.013209927866487047)	(75, 0.0429293813023566)	(80, 0.005253205666847542)	(85, 0.0028919550962440348)	(90, 0.0019612993338889067)	(95, 0.004037969216830101)	(100, 0.0024073987902244226)	(105, 0.006841473558800716)	(110, 0.0019497622789836778)	(115, 0.0005653156903562142)	(120, 0.04198718848509624)	(125, 0.00021151267326252913)	(130, 0.039406733871293384)	(135, 0.05302045865946345)	(140, 0.02038213033257099)	(145, 0.0008806618577658033)	(150, 0.19468780152573706)
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09052943563439247)	(3, 7.140953313696901e-05)	(4, 0.02053024077687859)	(5, 0.014799625742636829)	(6, 0.0)	(7, 0.0)	(8, 1.7852383284242253e-05)	(9, 0.0)	(10, 0.002081587890942647)	(15, 0.0)	(20, 0.00013567811296024115)	(25, 0.00278854226899864)	(30, 0.004423820577835231)	(35, 0.022386888638439788)	(40, 0.04047849385869089)	(45, 0.02901726379020736)	(50, 0.02634297677422787)	(55, 0.019169889170619334)	(60, 0.01961619875272539)	(65, 0.04690892231767495)	(70, 0.013264320780191996)	(75, 0.04295640465854371)	(80, 0.005141486385861769)	(85, 0.0029170794286451844)	(90, 0.0019280573946981634)	(95, 0.004045350052209295)	(100, 0.002563602239617188)	(105, 0.007023127584020903)	(110, 0.0018709297681885882)	(115, 0.0005498534051546614)	(120, 0.04201379882113572)	(125, 0.00017138287952872563)	(130, 0.03970727090081162)	(135, 0.05371425082562809)	(140, 0.02044811981377108)	(145, 0.0008604848743004768)	(150, 0.19760803057327753)
