Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.1609017829861602)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0013942962130516483)	(10, 2.3902220795171113e-05)	(15, 7.967406931723703e-06)	(20, 0.004884020449146631)	(25, 0.0)	(30, 0.0009879584595337393)	(35, 0.00365703978166118)	(40, 0.0005736532990841067)	(45, 0.0039040293965446156)	(50, 0.0009640562387385683)	(55, 0.006381892952310687)	(60, 0.0037446812579101413)	(65, 0.01440507173255646)	(70, 0.010341694197377368)	(75, 0.0052664559818693685)	(80, 0.004485650102560446)	(85, 0.0038960619896128913)	(90, 0.0002549570218151585)	(95, 0.011608511899521438)	(100, 0.001593481386344741)	(105, 0.0009959258664654631)	(110, 3.983703465861852e-05)	(115, 8.764147624896076e-05)	(120, 0.005816207060158304)	(125, 0.00028682664954205334)	(130, 0.0012907199229392403)	(135, 8.764147624896076e-05)	(140, 6.373925545378963e-05)	(145, 0.003083386482577074)	(150, 0.0035454960846170486)
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1	(1, 0.0)	(2, 0.04367432425183719)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.008533713042927016)	(7, 0.003718260682989628)	(8, 0.0)	(9, 0.0003962081055644685)	(10, 0.0035353954034983348)	(15, 0.01631158293062335)	(20, 0.034226284811453705)	(25, 0.03879791679873604)	(30, 0.01145346200547133)	(35, 0.013538126191672072)	(40, 0.03024591722785989)	(45, 0.006199132974754838)	(50, 0.02313245785564859)	(55, 0.01188014765761768)	(60, 0.01188014765761768)	(65, 0.031507687656349814)	(70, 0.035012605513266265)	(75, 0.022163271874344734)	(80, 0.021370855663215796)	(85, 0.0192740004583823)	(90, 0.022913019520259034)	(95, 0.014105008558095081)	(100, 0.05681014682862841)	(105, 0.029807040557080788)	(110, 0.008808010962163954)	(115, 0.003584159478029346)	(120, 0.008161886974628052)	(125, 0.006833065943657988)	(130, 0.0028709848880133027)	(135, 0.0015421638570432392)	(140, 0.037822635308115804)	(145, 0.017762314147920944)	(150, 0.004815452359937387)
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.0937831991581527)	(3, 0.00010483254991968778)	(4, 0.020652012334178495)	(5, 0.015410384838194104)	(6, 0.0)	(7, 0.0)	(8, 2.0966509983937556e-05)	(9, 0.0)	(10, 0.001895372502547955)	(15, 0.0)	(20, 0.00010483254991968778)	(25, 0.0029017649817769577)	(30, 0.00400879670892886)	(35, 0.022815756164520848)	(40, 0.0407295422947971)	(45, 0.027080344295253744)	(50, 0.026715527021533236)	(55, 0.01802700528418951)	(60, 0.0187021269056723)	(65, 0.046570811976322096)	(70, 0.01268893184227901)	(75, 0.04288489952114588)	(80, 0.004927129846225326)	(85, 0.002893378377783383)	(90, 0.0018744059925640177)	(95, 0.004050729728896736)	(100, 0.0023230893062202813)	(105, 0.00697346122065763)	(110, 0.00181989306660578)	(115, 0.000557709165572739)	(120, 0.042352350167553864)	(125, 0.00019708519384901304)	(130, 0.038360326666612155)	(135, 0.05344363394905684)	(140, 0.02060588601221383)	(145, 0.0009770393652514902)	(150, 0.19536594003033017)
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.1602712403694508)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0014907644330608798)	(10, 1.6876578487481658e-05)	(15, 1.1251052324987772e-05)	(20, 0.005119228807869436)	(25, 0.0)	(30, 0.0009900926045989238)	(35, 0.003898489630608263)	(40, 0.0006019312993868458)	(45, 0.004033502258508116)	(50, 0.0009900926045989238)	(55, 0.00661561876709281)	(60, 0.003639715427133544)	(65, 0.014682623284109042)	(70, 0.010840388915125718)	(75, 0.005237364857281808)	(80, 0.004399161459070219)	(85, 0.004022251206183128)	(90, 0.0002756507819622004)	(95, 0.011684217839499801)	(100, 0.0015863983778232756)	(105, 0.001029471287736381)	(110, 4.500420929995109e-05)	(115, 0.00012938710173735935)	(120, 0.006143074569443323)	(125, 0.00026439972963721264)	(130, 0.001327624174348557)	(135, 0.00010688499708738382)	(140, 0.00010125947092488993)	(145, 0.0031840478079715397)	(150, 0.003909740682933251)
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.16028148267843806)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0018680825486997444)	(10, 1.8680825486997443e-05)	(15, 4.670206371749361e-06)	(20, 0.0053240352637942715)	(25, 0.0)	(30, 0.001046126227271857)	(35, 0.004035058305191448)	(40, 0.0006164672410709156)	(45, 0.004221866560061422)	(50, 0.001008764576297862)	(55, 0.006879213985586809)	(60, 0.004039728511563197)	(65, 0.014874607294021715)	(70, 0.01089559146529126)	(75, 0.0056649603289319755)	(80, 0.004688887197236358)	(85, 0.004091100781652441)	(90, 0.0002662017631897136)	(95, 0.011577441595566666)	(100, 0.0015738595472795348)	(105, 0.0010554666400153555)	(110, 4.670206371749361e-05)	(115, 8.873392106323787e-05)	(120, 0.006430874173898871)	(125, 0.00028488258867671103)	(130, 0.0013496896414355653)	(135, 8.873392106323787e-05)	(140, 7.005309557624042e-05)	(145, 0.003329857143057294)	(150, 0.003759516129258236)
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.1583656870657932)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0015717234150988484)	(10, 3.4927187002196625e-05)	(15, 5.821197833699438e-06)	(20, 0.005221614456828397)	(25, 0.0)	(30, 0.0010594580057332976)	(35, 0.003841990570241629)	(40, 0.0006228681682058399)	(45, 0.004179620044596197)	(50, 0.0009721400382278061)	(55, 0.006764231882758747)	(60, 0.004133050461926601)	(65, 0.014355073857902814)	(70, 0.010693540420505868)	(75, 0.005722237470526547)	(80, 0.004482322331948567)	(85, 0.00403991129658741)	(90, 0.00041912624402635953)	(95, 0.011939276756917548)	(100, 0.0017638229436109298)	(105, 0.0011060275884028931)	(110, 2.328479133479775e-05)	(115, 9.896036317289044e-05)	(120, 0.00600747616437782)	(125, 0.00042494744186005897)	(130, 0.0015309750302629525)	(135, 0.00011642395667398877)	(140, 0.0001513511436761854)	(145, 0.003644069843895848)	(150, 0.0030270228735237077)
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09184872018083791)	(3, 0.0)	(4, 0.020650126054450456)	(5, 0.014894876198784157)	(6, 0.0)	(7, 0.0)	(8, 5.429480995911601e-05)	(9, 0.0)	(10, 0.002095779664421878)	(15, 0.0)	(20, 0.00013392719789915281)	(25, 0.0027798942699067395)	(30, 0.0044485547626502385)	(35, 0.022253632775243015)	(40, 0.03967140781012743)	(45, 0.02817900636878121)	(50, 0.026137521514318446)	(55, 0.019046619333657894)	(60, 0.01952079400730084)	(65, 0.046425682169041464)	(70, 0.013244313976027032)	(75, 0.04234271246011594)	(80, 0.005317271721996094)	(85, 0.0028160908098794836)	(90, 0.0019908096985009204)	(95, 0.003970760435010018)	(100, 0.0025554757220757267)	(105, 0.006880962248818635)	(110, 0.0019328952345445296)	(115, 0.0005682856775720809)	(120, 0.04181424297651388)	(125, 0.00023889716382011043)	(130, 0.03835385375511955)	(135, 0.052890384208173546)	(140, 0.020114417262853845)	(145, 0.0008578579973540329)	(150, 0.19090055181625187)
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.0925606800273767)	(3, 6.990987917475582e-05)	(4, 0.020833143994077232)	(5, 0.014471344989174455)	(6, 0.0)	(7, 0.0)	(8, 1.7477469793688955e-05)	(9, 0.0)	(10, 0.001939999147099474)	(15, 0.0)	(20, 0.00014681074626698724)	(25, 0.002897764491793629)	(30, 0.004149151329021758)	(35, 0.022797611598887872)	(40, 0.040110793176516155)	(45, 0.027523519431101366)	(50, 0.026688096374963034)	(55, 0.018284928898157384)	(60, 0.01880226200405058)	(65, 0.04765406913947231)	(70, 0.012678156588341968)	(75, 0.042777855067033084)	(80, 0.005009042842871255)	(85, 0.002936214925339745)	(90, 0.001807170376667438)	(95, 0.003995349594837295)	(100, 0.0023664494100654847)	(105, 0.0071377986637425695)	(110, 0.0018630982800072428)	(115, 0.0005942339729854244)	(120, 0.042319945358438436)	(125, 0.00020972963752426748)	(130, 0.03909709992848219)	(135, 0.05453669674422702)	(140, 0.020539522501543263)	(145, 0.0010101977540752215)	(150, 0.19143072665027513)
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.15727670709850128)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.001655069145779694)	(10, 4.212903280166494e-05)	(15, 3.0092166286903527e-06)	(20, 0.005269138316836807)	(25, 0.0)	(30, 0.0010201244371260297)	(35, 0.003936055350326981)	(40, 0.0006499907917971162)	(45, 0.004131654431191854)	(50, 0.0009930414874678164)	(55, 0.006722589948494249)	(60, 0.00383976041820889)	(65, 0.014347944885595602)	(70, 0.010448000134812905)	(75, 0.005320294999524544)	(80, 0.004471695910233864)	(85, 0.00401128576604424)	(90, 0.00029189401298296427)	(95, 0.011841267433896538)	(100, 0.0015918755965771965)	(105, 0.0010050783539825778)	(110, 3.611059954428423e-05)	(115, 9.930414874678164e-05)	(120, 0.006376530036194858)	(125, 0.0002858755797255835)	(130, 0.0014293778986279176)	(135, 0.00010532258200416234)	(140, 0.00010532258200416234)	(145, 0.0033853687072766467)	(150, 0.0036261060375718753)
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.15577800082344986)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0019557942117362976)	(10, 1.2097696155069881e-05)	(15, 1.2097696155069881e-05)	(20, 0.0051737813889848865)	(25, 0.0)	(30, 0.0009557179962505207)	(35, 0.003943848946552782)	(40, 0.0005806894154433543)	(45, 0.004020467688868224)	(50, 0.0009315226039403809)	(55, 0.006653732885288435)	(60, 0.0037422206773016172)	(65, 0.014299476855292603)	(70, 0.010516930524140752)	(75, 0.0053834747890060975)	(80, 0.00440759396583046)	(85, 0.0039398163811677584)	(90, 0.0003024424038767471)	(95, 0.011702504747337599)	(100, 0.0015807656309291312)	(105, 0.0009557179962505207)	(110, 3.6293088465209645e-05)	(115, 0.00010484670001060565)	(120, 0.006222248389090942)	(125, 0.000274214446181584)	(130, 0.001318648880902617)	(135, 9.678156924055905e-05)	(140, 0.00010484670001060565)	(145, 0.003230084873403659)	(150, 0.003851099942697246)
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1	(1, 0.0)	(2, 0.04269094696906537)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.008557806141415172)	(7, 0.0027708655987963163)	(8, 0.0)	(9, 0.00029425121403146723)	(10, 0.0035359187552781316)	(15, 0.01606611628611811)	(20, 0.03335827929736734)	(25, 0.038806830943850006)	(30, 0.010995187030975826)	(35, 0.013300154874222318)	(40, 0.030185270372728015)	(45, 0.006007628953142456)	(50, 0.022853510956443952)	(55, 0.011711198318452395)	(60, 0.011544455963834563)	(65, 0.03156334689177539)	(70, 0.034829535367524665)	(75, 0.0215391888671034)	(80, 0.02052402217869484)	(85, 0.01910671216444327)	(90, 0.022642630919721404)	(95, 0.013569885153751163)	(100, 0.056628646140355864)	(105, 0.02933684603893728)	(110, 0.008587231262818318)	(115, 0.0033887931482623973)	(120, 0.00790554928364542)	(125, 0.006674598371613782)	(130, 0.002702206982188974)	(135, 0.0015644356212673007)	(140, 0.03803687360046767)	(145, 0.0179689408035216)	(150, 0.004879665966021831)
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09286044722306437)	(3, 4.831448866964847e-05)	(4, 0.02229713652104277)	(5, 0.013673000293510517)	(6, 0.0)	(7, 0.0)	(8, 2.4157244334824237e-05)	(9, 0.0)	(10, 0.0021355003991984627)	(15, 0.0)	(20, 0.00016910071034376966)	(25, 0.0029713410531833815)	(30, 0.004309652389332644)	(35, 0.023437358453646476)	(40, 0.040936866249793154)	(45, 0.027790493882781805)	(50, 0.02676139527411829)	(55, 0.018871639274364693)	(60, 0.01900691984263971)	(65, 0.048802465005211924)	(70, 0.012721204866718443)	(75, 0.043429893865147014)	(80, 0.005203470429721141)	(85, 0.0027394315075690684)	(90, 0.002092017359395779)	(95, 0.0042710007983969255)	(100, 0.002744262956436033)	(105, 0.007343802277786568)	(110, 0.0020050512797904116)	(115, 0.000541122273100063)	(120, 0.04226551468820849)	(125, 0.00021741519901341815)	(130, 0.039960913578666254)	(135, 0.05312178029227849)	(140, 0.020717252741545265)	(145, 0.0009759526711268992)	(150, 0.1981377180342284)
