Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1	(13.0, 38.0)	(14.0, 333.0)	(15.0, 1434.0)	(16.0, 2699.0)	(17.0, 2807.0)	(18.0, 2493.0)	(19.0, 2553.0)	(20.0, 2896.0)	(21.0, 3458.0)	(22.0, 4117.0)	(23.0, 5392.0)	(24.0, 7047.0)	(25.0, 8507.0)	(26.0, 10296.0)	(27.0, 12046.0)	(28.0, 14815.0)	(29.0, 18181.0)	(30.0, 27305.0)	(31.0, 72152.0)	(32.0, 319236.0)	(33.0, 115407.0)	(34.0, 19248.0)	(35.0, 25177.0)	(36.0, 37106.0)	(37.0, 67136.0)	(38.0, 117016.0)	(39.0, 840853.0)	(40.0, 2458798.0)		
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1	(12.0, 3.0)	(13.0, 28.0)	(14.0, 223.0)	(15.0, 1082.0)	(16.0, 2040.0)	(17.0, 2177.0)	(18.0, 1817.0)	(19.0, 2062.0)	(20.0, 2275.0)	(21.0, 2589.0)	(22.0, 3081.0)	(23.0, 3883.0)	(24.0, 5015.0)	(25.0, 6030.0)	(26.0, 6988.0)	(27.0, 8342.0)	(28.0, 9974.0)	(29.0, 12171.0)	(30.0, 17539.0)	(31.0, 33648.0)	(32.0, 156004.0)	(33.0, 134263.0)	(34.0, 23222.0)	(35.0, 21614.0)	(36.0, 31758.0)	(37.0, 57529.0)	(38.0, 101634.0)	(39.0, 758069.0)	(40.0, 2256561.0)	
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1	(13.0, 16.0)	(14.0, 192.0)	(15.0, 906.0)	(16.0, 1973.0)	(17.0, 2125.0)	(18.0, 1984.0)	(19.0, 2129.0)	(20.0, 2474.0)	(21.0, 3076.0)	(22.0, 3766.0)	(23.0, 4642.0)	(24.0, 5956.0)	(25.0, 7135.0)	(26.0, 8490.0)	(27.0, 9873.0)	(28.0, 11339.0)	(29.0, 13432.0)	(30.0, 17558.0)	(31.0, 22908.0)	(32.0, 49381.0)	(33.0, 229902.0)	(34.0, 270501.0)	(35.0, 72500.0)	(36.0, 66406.0)	(37.0, 73960.0)	(38.0, 115457.0)	(39.0, 762213.0)	(40.0, 3251551.0)		
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1	(13.0, 13.0)	(14.0, 137.0)	(15.0, 650.0)	(16.0, 1502.0)	(17.0, 1833.0)	(18.0, 1991.0)	(19.0, 2192.0)	(20.0, 2716.0)	(21.0, 3620.0)	(22.0, 4558.0)	(23.0, 6372.0)	(24.0, 8081.0)	(25.0, 9835.0)	(26.0, 11901.0)	(27.0, 14375.0)	(28.0, 17044.0)	(29.0, 20875.0)	(30.0, 29721.0)	(31.0, 45134.0)	(32.0, 211688.0)	(33.0, 555854.0)	(34.0, 215988.0)	(35.0, 39905.0)	(36.0, 33899.0)	(37.0, 57330.0)	(38.0, 103805.0)	(39.0, 653485.0)	(40.0, 2886802.0)		
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1	(11.0, 1.0)	(12.0, 1.0)	(13.0, 37.0)	(14.0, 452.0)	(15.0, 2099.0)	(16.0, 4875.0)	(17.0, 4805.0)	(18.0, 3594.0)	(19.0, 3409.0)	(20.0, 3920.0)	(21.0, 4723.0)	(22.0, 5747.0)	(23.0, 7754.0)	(24.0, 10044.0)	(25.0, 12290.0)	(26.0, 14828.0)	(27.0, 18047.0)	(28.0, 21840.0)	(29.0, 27621.0)	(30.0, 41251.0)	(31.0, 94315.0)	(32.0, 417516.0)	(33.0, 284026.0)	(34.0, 86424.0)	(35.0, 55855.0)	(36.0, 60980.0)	(37.0, 90784.0)	(38.0, 153281.0)	(39.0, 1166087.0)	(40.0, 3340797.0)
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1	(12.0, 2.0)	(13.0, 18.0)	(14.0, 185.0)	(15.0, 889.0)	(16.0, 1915.0)	(17.0, 2194.0)	(18.0, 2137.0)	(19.0, 2330.0)	(20.0, 2787.0)	(21.0, 3294.0)	(22.0, 3990.0)	(23.0, 5233.0)	(24.0, 6676.0)	(25.0, 8240.0)	(26.0, 9917.0)	(27.0, 11940.0)	(28.0, 14796.0)	(29.0, 19068.0)	(30.0, 31893.0)	(31.0, 115064.0)	(32.0, 284979.0)	(33.0, 69706.0)	(34.0, 20749.0)	(35.0, 25809.0)	(36.0, 38196.0)	(37.0, 70294.0)	(38.0, 124001.0)	(39.0, 949214.0)	(40.0, 2745244.0)	
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1	(13.0, 17.0)	(14.0, 160.0)	(15.0, 687.0)	(16.0, 1450.0)	(17.0, 1564.0)	(18.0, 1493.0)	(19.0, 1735.0)	(20.0, 2054.0)	(21.0, 2409.0)	(22.0, 3029.0)	(23.0, 3770.0)	(24.0, 4874.0)	(25.0, 5821.0)	(26.0, 7029.0)	(27.0, 8055.0)	(28.0, 9395.0)	(29.0, 11237.0)	(30.0, 14921.0)	(31.0, 20477.0)	(32.0, 61096.0)	(33.0, 242322.0)	(34.0, 156941.0)	(35.0, 33417.0)	(36.0, 31783.0)	(37.0, 49651.0)	(38.0, 89010.0)	(39.0, 571291.0)	(40.0, 2461528.0)		
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1	(12.0, 5.0)	(13.0, 57.0)	(14.0, 741.0)	(15.0, 3770.0)	(16.0, 7715.0)	(17.0, 6780.0)	(18.0, 4116.0)	(19.0, 3201.0)	(20.0, 3159.0)	(21.0, 3563.0)	(22.0, 4268.0)	(23.0, 5886.0)	(24.0, 7664.0)	(25.0, 9798.0)	(26.0, 11857.0)	(27.0, 14838.0)	(28.0, 17477.0)	(29.0, 21853.0)	(30.0, 30425.0)	(31.0, 43722.0)	(32.0, 167598.0)	(33.0, 679818.0)	(34.0, 373498.0)	(35.0, 46629.0)	(36.0, 30492.0)	(37.0, 43628.0)	(38.0, 74308.0)	(39.0, 486254.0)	(40.0, 2016036.0)	
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1	(12.0, 2.0)	(13.0, 40.0)	(14.0, 284.0)	(15.0, 1018.0)	(16.0, 2574.0)	(17.0, 3004.0)	(18.0, 2738.0)	(19.0, 3070.0)	(20.0, 3602.0)	(21.0, 4584.0)	(22.0, 5890.0)	(23.0, 8256.0)	(24.0, 10862.0)	(25.0, 14055.0)	(26.0, 17431.0)	(27.0, 20902.0)	(28.0, 26547.0)	(29.0, 35582.0)	(30.0, 58337.0)	(31.0, 187461.0)	(32.0, 681191.0)	(33.0, 231666.0)	(34.0, 34506.0)	(35.0, 29006.0)	(36.0, 40881.0)	(37.0, 75594.0)	(38.0, 126206.0)	(39.0, 931735.0)	(40.0, 2643610.0)	
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1	(12.0, 2.0)	(13.0, 51.0)	(14.0, 312.0)	(15.0, 1187.0)	(16.0, 2395.0)	(17.0, 3060.0)	(18.0, 3152.0)	(19.0, 3567.0)	(20.0, 4508.0)	(21.0, 5665.0)	(22.0, 7076.0)	(23.0, 9578.0)	(24.0, 12952.0)	(25.0, 16966.0)	(26.0, 20989.0)	(27.0, 26272.0)	(28.0, 32651.0)	(29.0, 43291.0)	(30.0, 66943.0)	(31.0, 189639.0)	(32.0, 1027899.0)	(33.0, 424069.0)	(34.0, 78109.0)	(35.0, 31502.0)	(36.0, 42618.0)	(37.0, 77628.0)	(38.0, 118443.0)	(39.0, 895057.0)	(40.0, 2455912.0)	
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1	(12.0, 1.0)	(13.0, 5.0)	(14.0, 78.0)	(15.0, 465.0)	(16.0, 1179.0)	(17.0, 1095.0)	(18.0, 795.0)	(19.0, 734.0)	(20.0, 784.0)	(21.0, 878.0)	(22.0, 1121.0)	(23.0, 1362.0)	(24.0, 1679.0)	(25.0, 2052.0)	(26.0, 2235.0)	(27.0, 2587.0)	(28.0, 3147.0)	(29.0, 3643.0)	(30.0, 4453.0)	(31.0, 5398.0)	(32.0, 8408.0)	(33.0, 24826.0)	(34.0, 36244.0)	(35.0, 20702.0)	(36.0, 27269.0)	(37.0, 38972.0)	(38.0, 63315.0)	(39.0, 417499.0)	(40.0, 1839301.0)	
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1	(12.0, 1.0)	(13.0, 15.0)	(14.0, 108.0)	(15.0, 650.0)	(16.0, 1733.0)	(17.0, 2053.0)	(18.0, 1359.0)	(19.0, 1341.0)	(20.0, 1529.0)	(21.0, 1761.0)	(22.0, 2234.0)	(23.0, 3133.0)	(24.0, 4223.0)	(25.0, 5422.0)	(26.0, 6608.0)	(27.0, 8065.0)	(28.0, 10317.0)	(29.0, 13302.0)	(30.0, 22234.0)	(31.0, 83957.0)	(32.0, 233563.0)	(33.0, 36538.0)	(34.0, 11025.0)	(35.0, 16594.0)	(36.0, 24468.0)	(37.0, 44309.0)	(38.0, 78457.0)	(39.0, 733469.0)	(40.0, 1932636.0)	
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1	(12.0, 1.0)	(13.0, 8.0)	(14.0, 171.0)	(15.0, 888.0)	(16.0, 2164.0)	(17.0, 2073.0)	(18.0, 1604.0)	(19.0, 1563.0)	(20.0, 1712.0)	(21.0, 2017.0)	(22.0, 2381.0)	(23.0, 3056.0)	(24.0, 3699.0)	(25.0, 4503.0)	(26.0, 5416.0)	(27.0, 6155.0)	(28.0, 7247.0)	(29.0, 8587.0)	(30.0, 11183.0)	(31.0, 17946.0)	(32.0, 61491.0)	(33.0, 57017.0)	(34.0, 30067.0)	(35.0, 34185.0)	(36.0, 47172.0)	(37.0, 72264.0)	(38.0, 131801.0)	(39.0, 1011762.0)	(40.0, 3241378.0)	
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1	(12.0, 2.0)	(13.0, 14.0)	(14.0, 148.0)	(15.0, 656.0)	(16.0, 1494.0)	(17.0, 1507.0)	(18.0, 1234.0)	(19.0, 1194.0)	(20.0, 1332.0)	(21.0, 1561.0)	(22.0, 2031.0)	(23.0, 2745.0)	(24.0, 3272.0)	(25.0, 4085.0)	(26.0, 4925.0)	(27.0, 5813.0)	(28.0, 7009.0)	(29.0, 8412.0)	(30.0, 11449.0)	(31.0, 16704.0)	(32.0, 69695.0)	(33.0, 180432.0)	(34.0, 65759.0)	(35.0, 19423.0)	(36.0, 24392.0)	(37.0, 43093.0)	(38.0, 81477.0)	(39.0, 561168.0)	(40.0, 2434197.0)	
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1	(12.0, 1.0)	(13.0, 13.0)	(14.0, 173.0)	(15.0, 768.0)	(16.0, 1756.0)	(17.0, 1952.0)	(18.0, 1667.0)	(19.0, 1781.0)	(20.0, 2103.0)	(21.0, 2566.0)	(22.0, 3261.0)	(23.0, 4327.0)	(24.0, 5675.0)	(25.0, 7153.0)	(26.0, 8600.0)	(27.0, 10535.0)	(28.0, 12647.0)	(29.0, 16363.0)	(30.0, 24646.0)	(31.0, 53542.0)	(32.0, 358293.0)	(33.0, 248260.0)	(34.0, 25283.0)	(35.0, 21248.0)	(36.0, 29405.0)	(37.0, 51040.0)	(38.0, 91692.0)	(39.0, 596013.0)	(40.0, 2701703.0)	
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1	(13.0, 16.0)	(14.0, 272.0)	(15.0, 1306.0)	(16.0, 2923.0)	(17.0, 2931.0)	(18.0, 2155.0)	(19.0, 1733.0)	(20.0, 1844.0)	(21.0, 2152.0)	(22.0, 2599.0)	(23.0, 3267.0)	(24.0, 4147.0)	(25.0, 5141.0)	(26.0, 6170.0)	(27.0, 7342.0)	(28.0, 8596.0)	(29.0, 10662.0)	(30.0, 14918.0)	(31.0, 26864.0)	(32.0, 192636.0)	(33.0, 181267.0)	(34.0, 32529.0)	(35.0, 18437.0)	(36.0, 25241.0)	(37.0, 43695.0)	(38.0, 79852.0)	(39.0, 601570.0)	(40.0, 2155454.0)		
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1	(12.0, 7.0)	(13.0, 45.0)	(14.0, 380.0)	(15.0, 2027.0)	(16.0, 4192.0)	(17.0, 3800.0)	(18.0, 2668.0)	(19.0, 2736.0)	(20.0, 3081.0)	(21.0, 3821.0)	(22.0, 4565.0)	(23.0, 6249.0)	(24.0, 7865.0)	(25.0, 10191.0)	(26.0, 11997.0)	(27.0, 14928.0)	(28.0, 18437.0)	(29.0, 23222.0)	(30.0, 35436.0)	(31.0, 85552.0)	(32.0, 412775.0)	(33.0, 293981.0)	(34.0, 30842.0)	(35.0, 28267.0)	(36.0, 42973.0)	(37.0, 80163.0)	(38.0, 137065.0)	(39.0, 1036024.0)	(40.0, 3222101.0)	
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1	(12.0, 2.0)	(13.0, 27.0)	(14.0, 276.0)	(15.0, 1254.0)	(16.0, 2657.0)	(17.0, 2871.0)	(18.0, 2593.0)	(19.0, 2687.0)	(20.0, 3147.0)	(21.0, 3525.0)	(22.0, 4402.0)	(23.0, 5844.0)	(24.0, 7542.0)	(25.0, 9166.0)	(26.0, 11343.0)	(27.0, 13492.0)	(28.0, 16183.0)	(29.0, 20231.0)	(30.0, 29824.0)	(31.0, 84285.0)	(32.0, 374149.0)	(33.0, 134600.0)	(34.0, 23810.0)	(35.0, 32825.0)	(36.0, 48723.0)	(37.0, 88474.0)	(38.0, 157623.0)	(39.0, 1448833.0)	(40.0, 3191264.0)	
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1	(13.0, 19.0)	(14.0, 224.0)	(15.0, 981.0)	(16.0, 2046.0)	(17.0, 2306.0)	(18.0, 2482.0)	(19.0, 2879.0)	(20.0, 3688.0)	(21.0, 5033.0)	(22.0, 6805.0)	(23.0, 9456.0)	(24.0, 13323.0)	(25.0, 16926.0)	(26.0, 20607.0)	(27.0, 27016.0)	(28.0, 32907.0)	(29.0, 43796.0)	(30.0, 69911.0)	(31.0, 185231.0)	(32.0, 1297501.0)	(33.0, 596190.0)	(34.0, 35508.0)	(35.0, 26352.0)	(36.0, 36024.0)	(37.0, 66033.0)	(38.0, 116394.0)	(39.0, 799150.0)	(40.0, 3227460.0)		
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1	(11.0, 1.0)	(12.0, 1.0)	(13.0, 22.0)	(14.0, 225.0)	(15.0, 1006.0)	(16.0, 2425.0)	(17.0, 3496.0)	(18.0, 3679.0)	(19.0, 3877.0)	(20.0, 4616.0)	(21.0, 5883.0)	(22.0, 7492.0)	(23.0, 10213.0)	(24.0, 14430.0)	(25.0, 18341.0)	(26.0, 22349.0)	(27.0, 28049.0)	(28.0, 32970.0)	(29.0, 41812.0)	(30.0, 57009.0)	(31.0, 81412.0)	(32.0, 238570.0)	(33.0, 1098550.0)	(34.0, 1039566.0)	(35.0, 173962.0)	(36.0, 89018.0)	(37.0, 51918.0)	(38.0, 67458.0)	(39.0, 1159796.0)	(40.0, 701476.0)
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1	(12.0, 1.0)	(13.0, 28.0)	(14.0, 161.0)	(15.0, 468.0)	(16.0, 930.0)	(17.0, 1315.0)	(18.0, 1529.0)	(19.0, 1988.0)	(20.0, 2664.0)	(21.0, 3616.0)	(22.0, 5113.0)	(23.0, 7668.0)	(24.0, 11132.0)	(25.0, 14770.0)	(26.0, 18752.0)	(27.0, 24979.0)	(28.0, 31868.0)	(29.0, 43373.0)	(30.0, 75256.0)	(31.0, 315350.0)	(32.0, 1108063.0)	(33.0, 181462.0)	(34.0, 11217.0)	(35.0, 13738.0)	(36.0, 24241.0)	(37.0, 44809.0)	(38.0, 60497.0)	(39.0, 606033.0)	(40.0, 1467127.0)	
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1	(12.0, 3.0)	(13.0, 55.0)	(14.0, 265.0)	(15.0, 817.0)	(16.0, 1618.0)	(17.0, 2278.0)	(18.0, 2831.0)	(19.0, 3378.0)	(20.0, 4418.0)	(21.0, 6009.0)	(22.0, 7426.0)	(23.0, 10417.0)	(24.0, 14538.0)	(25.0, 19160.0)	(26.0, 25332.0)	(27.0, 31305.0)	(28.0, 39441.0)	(29.0, 54352.0)	(30.0, 85956.0)	(31.0, 219432.0)	(32.0, 1070960.0)	(33.0, 703264.0)	(34.0, 129570.0)	(35.0, 41117.0)	(36.0, 35183.0)	(37.0, 51170.0)	(38.0, 65260.0)	(39.0, 1010875.0)	(40.0, 503115.0)	
