Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 2.381776929441764e-05)	(4, 7.145330788325292e-05)	(5, 9.527107717767056e-05)	(6, 9.527107717767056e-05)	(7, 0.00011908884647208819)	(8, 0.00011908884647208819)	(9, 0.00011908884647208819)	(10, 0.00015481550041371466)	(12, 0.00016672438506092348)	(14, 0.0001786332697081323)	(16, 0.00019054215435534112)	(18, 0.00022626880829696756)	(20, 0.0002500865775913852)	(22, 0.0003096310008274293)	(24, 0.0010003463103655408)	(26, 5.753503712952056)	(28, 11.634468218283187)	(30, 11.775314597005725)	(32, 11.800347072534159)	(34, 11.841301726835908)	(36, 11.882494558830604)	(38, 11.973895248497932)	(40, 11.974228697268053)	(42, 11.975467221271364)	(44, 12.65728659397801)	(46, 12.65895383782862)	(48, 12.65903720002115)	(50, 12.659084835559739)	(52, 12.65920392440621)	(54, 12.659227742175506)	(56, 12.659346831021978)	(58, 12.659489737637745)	(60, 12.65971600644604)	(62, 12.727406106780776)	(64, 12.795155751538747)	(66, 12.795310567039161)	(68, 12.795513018078164)	(70, 12.795632106924636)	(72, 12.79582264907899)	(74, 12.796048917887287)	(76, 12.796239460041644)	(78, 12.796418093311352)	(80, 12.796584817696413)	(82, 12.796953993120475)	(84, 12.797215988582714)	(86, 12.797394621852423)	(88, 12.797644708430013)	(90, 12.797847159469017)	(92, 12.798097246046607)	(94, 12.798323514854903)	(96, 12.798668872509673)	(98, 12.79889514131797)	(100, 12.799121410126268)	(102, 12.799335770049918)	(104, 12.79957394774286)	(106, 12.799859760974394)	(108, 12.800038394244103)	(110, 12.800169391975222)	(112, 12.800419478552813)	(114, 12.800717200668993)	(116, 12.801122102746998)	(118, 12.801348371555296)	(120, 12.801717546979358)	(122, 12.801931906903008)	(124, 12.802134357942013)	(126, 12.80234871786566)	(128, 12.8026107133279)	(130, 12.802979888751963)	(132, 12.811149383619949)	(134, 12.81139947019754)	(136, 12.811637647890484)	(138, 12.811875825583428)
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 2.731030874030928e-05)	(2, 2.731030874030928e-05)	(3, 2.731030874030928e-05)	(4, 2.731030874030928e-05)	(5, 2.731030874030928e-05)	(6, 2.731030874030928e-05)	(7, 2.731030874030928e-05)	(8, 2.731030874030928e-05)	(9, 2.731030874030928e-05)	(10, 2.731030874030928e-05)	(12, 6.82757718507732e-05)	(14, 8.193092622092783e-05)	(16, 8.193092622092783e-05)	(18, 0.00010924123496123712)	(20, 0.00019117216118216492)	(22, 0.000341378859253866)	(24, 0.000832964416579433)	(26, 4.108699398435829)	(28, 8.241950764429196)	(30, 8.272401758674642)	(32, 8.272661206607674)	(34, 8.352475583901228)	(36, 8.352707721525523)	(38, 8.352748686988631)	(40, 8.353103721002256)	(42, 8.525377148536126)	(44, 9.19409736835134)	(46, 9.195053229157251)	(48, 9.195080539465991)	(50, 9.195162470392212)	(52, 9.195189780700952)	(54, 9.195217091009692)	(56, 9.195326332244655)	(58, 9.195394608016503)	(60, 9.195503849251466)	(62, 9.195626745640796)	(64, 9.195667711103908)	(66, 9.195817917801978)	(68, 9.196022745117531)	(70, 9.196036400271902)	(72, 9.196131986352492)	(74, 9.196227572433084)	(76, 9.196418744594265)	(78, 9.196500675520486)	(80, 9.196719157990408)	(82, 9.197060536849662)	(84, 9.197169778084625)	(86, 9.197429226017658)	(88, 9.197606743024469)	(90, 9.1977296394138)	(92, 9.197879846111872)	(94, 9.197948121883723)	(96, 9.198180259508016)	(98, 9.198371431669198)	(100, 9.198480672904159)	(102, 9.198644534756601)	(104, 9.198767431145932)	(106, 9.199122465159556)	(108, 9.199477499173181)	(110, 9.199791567723693)	(112, 9.200037360502357)	(114, 9.200255842972279)	(116, 9.200406049670352)	(118, 9.200706463066496)	(120, 9.200911290382045)	(122, 9.20118439346945)	(124, 9.201471151711223)	(126, 9.201812530570477)	(128, 9.202235840355952)	(130, 9.202590874369577)	(132, 9.20305514961816)	(134, 9.203423838786154)	(136, 9.203806183108519)	(138, 9.204120251659033)
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 1.995273197794425e-05)	(3, 1.995273197794425e-05)	(4, 1.995273197794425e-05)	(5, 1.995273197794425e-05)	(6, 1.995273197794425e-05)	(7, 1.995273197794425e-05)	(8, 1.995273197794425e-05)	(9, 1.995273197794425e-05)	(10, 2.9929097966916373e-05)	(12, 3.99054639558885e-05)	(14, 3.99054639558885e-05)	(16, 4.9881829944860625e-05)	(18, 5.985819593383275e-05)	(20, 6.983456192280487e-05)	(22, 0.00011971639186766549)	(24, 0.0006185346913162717)	(26, 5.876009732942659)	(28, 11.886201588436993)	(30, 11.948134868496531)	(32, 11.94815482122851)	(34, 11.9482545848884)	(36, 11.948274537620378)	(38, 11.948294490352355)	(40, 11.948384277646255)	(42, 12.00716502605328)	(44, 13.030969632939566)	(46, 13.032905047941426)	(48, 13.032905047941426)	(50, 13.032915024307416)	(52, 13.032944953405384)	(54, 13.03297488250335)	(56, 13.032984858869339)	(58, 13.032994835235328)	(60, 13.033014787967305)	(62, 13.03305469343126)	(64, 13.033104575261206)	(66, 13.033124527993184)	(68, 13.033144480725163)	(70, 13.033144480725163)	(72, 13.03315445709115)	(74, 13.033194362555108)	(76, 13.033204338921095)	(78, 13.033204338921095)	(80, 13.033224291653074)	(82, 13.033314078946974)	(84, 13.03335398441093)	(86, 13.033413842606866)	(88, 13.033513606266755)	(90, 13.033563488096698)	(92, 13.033603393560654)	(94, 13.033653275390598)	(96, 13.033713133586534)	(98, 13.033772991782467)	(100, 13.033822873612412)	(102, 13.033862779076369)	(104, 13.033912660906314)	(106, 13.03393261363829)	(108, 13.03404235366417)	(110, 13.034102211860104)	(112, 13.034201975519993)	(114, 13.034221928251972)	(116, 13.034241880983949)	(118, 13.034311715545872)	(120, 13.034421455571751)	(122, 13.03443143193774)	(124, 13.034561124695596)	(126, 13.034611006525541)	(128, 13.034650911989496)	(130, 13.034840462943286)	(132, 13.052428796181845)	(134, 13.052528559841734)	(136, 13.052638299867613)	(138, 13.052748039893492)
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 2.023756472479138e-05)	(9, 2.023756472479138e-05)	(10, 2.023756472479138e-05)	(12, 4.047512944958276e-05)	(14, 4.047512944958276e-05)	(16, 4.047512944958276e-05)	(18, 6.071269417437414e-05)	(20, 0.00011130660598635259)	(22, 0.00019225686488551813)	(24, 0.0012547290129370657)	(26, 9.573855575833596)	(28, 19.21477844116515)	(30, 19.259220133300794)	(32, 19.259402271383316)	(34, 19.259614765812927)	(36, 19.25963500337765)	(38, 19.259989160760334)	(40, 19.42562350925039)	(42, 19.72100088519108)	(44, 21.89329096396783)	(46, 21.896913488053563)	(48, 21.896923606835927)	(50, 21.896964081965372)	(52, 21.897014675877188)	(54, 21.897085507353722)	(56, 21.897146220047897)	(58, 21.897217051524436)	(60, 21.89728788300097)	(62, 21.945969344946455)	(64, 21.994650806891944)	(66, 21.994660925674303)	(68, 21.994721638368482)	(70, 21.994741875933205)	(72, 21.994751994715568)	(74, 21.994762113497927)	(76, 21.99477223228029)	(78, 21.994812707409743)	(80, 21.994883538886278)	(82, 21.994913895233367)	(84, 21.994944251580453)	(86, 21.99497460792754)	(88, 21.9949847267099)	(90, 21.995035320621714)	(92, 21.995075795751163)	(94, 21.995106152098252)	(96, 21.99518710235715)	(98, 21.995237696268962)	(100, 21.995247815051325)	(102, 21.995288290180774)	(104, 21.995359121657312)	(106, 21.995389478004398)	(108, 21.99548054704566)	(110, 21.995551378522194)	(112, 21.995632328781095)	(114, 21.995713279039997)	(116, 21.995794229298895)	(118, 21.995854941993066)	(120, 21.995925773469608)	(122, 21.995966248599053)	(124, 21.99602696129323)	(126, 21.996148386681575)	(128, 21.996259693287563)	(130, 21.996300168417015)	(132, 21.996340643546464)	(134, 21.996451950152448)	(136, 21.996563256758435)	(138, 21.99675551362332)
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.6842380414467402e-05)	(5, 1.6842380414467402e-05)	(6, 1.6842380414467402e-05)	(7, 1.6842380414467402e-05)	(8, 3.3684760828934805e-05)	(9, 5.052714124340221e-05)	(10, 5.052714124340221e-05)	(12, 6.736952165786961e-05)	(14, 6.736952165786961e-05)	(16, 8.421190207233702e-05)	(18, 0.00011789666290127181)	(20, 0.00021052975518084255)	(22, 0.00024421451600977736)	(24, 0.0008926461619667723)	(26, 6.93479960851571)	(28, 14.06494556626862)	(30, 14.145730043926612)	(32, 14.145940573681793)	(34, 14.234337807287126)	(36, 14.234927290601632)	(38, 14.478636535198977)	(40, 14.594326846265952)	(42, 14.807618751834767)	(44, 16.01463636542778)	(46, 16.016699557028552)	(48, 16.016758505360002)	(50, 16.01679219012083)	(52, 16.01682587488166)	(54, 16.01688482321311)	(56, 16.01704482582705)	(58, 16.01711219534871)	(60, 16.0172216708214)	(62, 16.01740693700596)	(64, 16.017491148908032)	(66, 16.017533254859067)	(68, 16.01761746676114)	(70, 16.017726942233836)	(72, 16.017853260086945)	(74, 16.017971156749844)	(76, 16.018055368651915)	(78, 16.018240634836474)	(80, 16.01841747983083)	(82, 16.01859432482518)	(84, 16.018762748629324)	(86, 16.01895643600409)	(88, 16.01914170218865)	(90, 16.019394337894866)	(92, 16.019621710030464)	(94, 16.019773291454193)	(96, 16.019891188117093)	(98, 16.02011013906248)	(100, 16.02022803572538)	(102, 16.02051435619243)	(104, 16.020766991898647)	(106, 16.021053312365694)	(108, 16.021272263311083)	(110, 16.021524899017297)	(112, 16.02181964067455)	(114, 16.02215648828284)	(116, 16.022476493510716)	(118, 16.022762813977764)	(120, 16.022939658972113)	(122, 16.023158609917502)	(124, 16.02347019395517)	(126, 16.023722829661388)	(128, 16.023924938226358)	(130, 16.024211258693406)	(132, 16.02450600035066)	(134, 16.024859690339362)	(136, 16.025129168425995)	(138, 16.025432331273453)
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 2.187819968670418e-05)	(9, 4.375639937340836e-05)	(10, 6.563459906011254e-05)	(12, 8.751279874681672e-05)	(14, 8.751279874681672e-05)	(16, 8.751279874681672e-05)	(18, 0.00012033009827687299)	(20, 0.00013126919812022508)	(22, 0.00018596469733698552)	(24, 0.0006454068907577734)	(26, 4.932593266765265)	(28, 9.902073178202311)	(30, 9.946606253664598)	(32, 9.946737522862719)	(34, 9.947120391357235)	(36, 10.159918700609964)	(38, 10.160739133098215)	(40, 10.34555522495165)	(42, 10.393873228959734)	(44, 11.103787991493757)	(46, 11.10504598797574)	(48, 11.105155378974175)	(50, 11.10523195267308)	(52, 11.105396039170728)	(54, 11.105494491069319)	(56, 11.10559294296791)	(58, 11.105800785864933)	(60, 11.105910176863366)	(62, 11.105975811462427)	(64, 11.106096141560704)	(66, 11.106205532559137)	(68, 11.106293045357884)	(70, 11.106468070955376)	(72, 11.106566522853967)	(74, 11.10677436575099)	(76, 11.106861878549736)	(78, 11.106971269548172)	(80, 11.10715723424551)	(82, 11.107310381643316)	(84, 11.107397894442062)	(86, 11.107572920039555)	(88, 11.107758884736892)	(90, 11.10797766673376)	(92, 11.108163631431097)	(94, 11.108360535228277)	(96, 11.108590256324987)	(98, 11.108841855621385)	(100, 11.109060637618253)	(102, 11.109290358714961)	(104, 11.109443506112768)	(106, 11.109684166309322)	(108, 11.10993576560572)	(110, 11.110154547602587)	(112, 11.110449903298356)	(114, 11.110712441694599)	(116, 11.110953101891152)	(118, 11.111117188388802)	(120, 11.111270335786608)	(122, 11.111609447881753)	(124, 11.112003255476115)	(126, 11.11228767207204)	(128, 11.112539271368437)	(130, 11.112801809764678)	(132, 11.113009652661702)	(134, 11.11322843465857)	(136, 11.113436277555593)	(138, 11.113731633251362)
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 1.3167541693704018e-05)	(22, 6.58377084685201e-05)	(24, 0.0006057069179103849)	(26, 5.942248215534749)	(28, 11.914926619923648)	(30, 11.965779665944734)	(32, 11.965819168569816)	(34, 11.965924508903365)	(36, 11.96597717907014)	(38, 11.966016681695221)	(40, 12.00682289340401)	(42, 12.226141467854344)	(44, 13.031349809966038)	(46, 13.092407700799743)	(48, 13.092407700799743)	(50, 13.092460370966519)	(52, 13.092473538508212)	(54, 13.092552543758375)	(56, 13.092618381466844)	(58, 13.092684219175311)	(60, 13.092723721800393)	(62, 13.092815894592249)	(64, 13.092842229675636)	(66, 13.09285539721733)	(68, 13.092868564759023)	(70, 13.092921234925797)	(72, 13.093026575259348)	(74, 13.093092412967817)	(76, 13.093131915592897)	(78, 13.093158250676286)	(80, 13.093197753301366)	(82, 13.093237255926446)	(84, 13.093263591009835)	(86, 13.093303093634916)	(88, 13.093329428718302)	(90, 13.093329428718302)	(92, 13.093408433968467)	(94, 13.093474271676934)	(96, 13.09352694184371)	(98, 13.093540109385403)	(100, 13.093553276927096)	(102, 13.093632282177257)	(104, 13.093698119885726)	(106, 13.09377712513589)	(108, 13.09381662776097)	(110, 13.093895633011133)	(112, 13.093935135636213)	(114, 13.093987805802989)	(116, 13.094053643511458)	(118, 13.094185318928394)	(120, 13.094237989095168)	(122, 13.094251156636862)	(124, 13.094264324178557)	(126, 13.094343329428717)	(128, 13.094409167137187)	(130, 13.094435502220573)	(132, 13.094540842554125)	(134, 13.094646182887672)	(136, 13.094817360929692)	(138, 13.094922701263242)
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 2.42768178723991e-05)	(9, 2.42768178723991e-05)	(10, 4.85536357447982e-05)	(12, 4.85536357447982e-05)	(14, 9.71072714895964e-05)	(16, 0.00012138408936199552)	(18, 0.00012138408936199552)	(20, 0.00013352249829819506)	(22, 0.0002549065876601906)	(24, 0.0017722077046851345)	(26, 15.116676814376536)	(28, 30.412540821469253)	(30, 30.686043451619703)	(32, 30.686176974118)	(34, 30.68626194298055)	(36, 30.686820309791617)	(38, 31.12434925989693)	(40, 31.132384886612694)	(42, 31.33480499403276)	(44, 32.7308191289672)	(46, 32.733319641208055)	(48, 32.73334391802592)	(50, 32.733356056434864)	(52, 32.73338033325274)	(54, 32.733477440524226)	(56, 32.73352599415997)	(58, 32.73352599415997)	(60, 32.73352599415997)	(62, 32.73352599415997)	(64, 32.733550270977844)	(66, 32.73356240938678)	(68, 32.733586686204646)	(70, 32.733635239840396)	(72, 32.73372020870295)	(74, 32.73374448552082)	(76, 32.73374448552082)	(78, 32.7337687623387)	(80, 32.7338051775655)	(82, 32.73384159279231)	(84, 32.733865869610185)	(86, 32.73387800801912)	(88, 32.7339387000638)	(90, 32.73396297688167)	(92, 32.733975115290605)	(94, 32.73404794574422)	(96, 32.73408436097103)	(98, 32.73410863778891)	(100, 32.73416932983359)	(102, 32.73423002187827)	(104, 32.73425429869614)	(106, 32.73432712914976)	(108, 32.73442423642125)	(110, 32.734448513239116)	(112, 32.734521343692734)	(114, 32.73460631255529)	(116, 32.73475197346252)	(118, 32.73481266550721)	(120, 32.73486121914296)	(122, 32.73495832641444)	(124, 32.73511612573061)	(126, 32.735201094593165)	(128, 32.73524964822891)	(130, 32.73533461709147)	(132, 32.73544386277189)	(134, 32.73552883163444)	(136, 32.73573518458636)	(138, 32.73595367594721)
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.42768178723991e-05)	(12, 2.42768178723991e-05)	(14, 2.42768178723991e-05)	(16, 2.42768178723991e-05)	(18, 2.42768178723991e-05)	(20, 3.641522680859865e-05)	(22, 4.85536357447982e-05)	(24, 4.85536357447982e-05)	(26, 0.00010924568042579595)	(28, 0.0002791834055325897)	(30, 0.0007161661272357735)	(32, 0.0012138408936199553)	(34, 0.0019057302029833296)	(36, 0.0045276265332024335)	(38, 0.009079529884277265)	(40, 0.015573578665144024)	(42, 0.022929454480480952)	(44, 0.02890155167709113)	(46, 0.03441238933412573)	(48, 0.03989895017328793)	(50, 0.04625947645585649)	(52, 0.053700321133746814)	(54, 0.06061921422738056)	(56, 0.06588728370569116)	(58, 0.07130101409123615)	(60, 0.07601071675848159)	(62, 0.0814972775976438)	(64, 0.08697170002786979)	(66, 0.092154800643627)	(68, 0.09677953444831902)	(70, 0.10186552779258665)	(72, 0.10683013704749225)	(74, 0.11180688471133407)	(76, 0.1163102344266641)	(78, 0.12080144573305794)	(80, 0.12480712068200378)	(82, 0.12873996517733244)	(84, 0.13344966784457787)	(86, 0.1382928930101215)	(88, 0.14261416659140852)	(90, 0.1461828588186512)	(92, 0.14943595241355268)	(94, 0.15281043009781614)	(96, 0.15624559982676062)	(98, 0.1594137245591087)	(100, 0.1624361883842224)	(102, 0.16497311585188812)	(104, 0.1674979049106176)	(106, 0.16973137215487832)	(108, 0.17213477712424585)	(110, 0.17447749004893237)	(112, 0.17669881888425687)	(114, 0.1787502099944746)	(116, 0.1808987083761819)	(118, 0.18308362198469783)	(120, 0.18495293696087256)	(122, 0.1864945148957699)	(124, 0.18810892328428444)	(126, 0.18983257735322479)	(128, 0.19148340096854793)	(130, 0.19302497890344528)	(132, 0.19444517274898063)	(134, 0.19610813477323996)	(136, 0.19740694452941332)	(138, 0.19854795496941607)
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.8842637263072155e-05)	(14, 7.691369936819241e-05)	(16, 0.00011537054905228862)	(18, 0.00012498476147331268)	(20, 0.0002211268856835532)	(22, 0.0003172690098937937)	(24, 0.0010671775787336698)	(26, 11.166513544310176)	(28, 22.396154007376794)	(30, 22.43500503977015)	(32, 22.43509156768194)	(34, 22.43518770980615)	(36, 22.435264623505518)	(38, 22.43529346614278)	(40, 22.5013815623249)	(42, 22.570065495860696)	(44, 23.68907329375611)	(46, 23.691505689498626)	(48, 23.691553760560733)	(50, 23.691611445835257)	(52, 23.691669131109784)	(54, 23.69172681638431)	(56, 23.691784501658837)	(58, 23.69182295850852)	(60, 23.691890257995468)	(62, 23.6920440853942)	(64, 23.69213061330599)	(66, 23.692226755430205)	(68, 23.692351740191675)	(70, 23.692428653891042)	(72, 23.692611323927046)	(74, 23.692784379750623)	(76, 23.692909364512097)	(78, 23.693015120848727)	(80, 23.693140105610198)	(82, 23.693313161433778)	(84, 23.693409303557992)	(86, 23.693563130956726)	(88, 23.693707344143043)	(90, 23.693918856816303)	(92, 23.694120755277147)	(94, 23.69429381110072)	(96, 23.694476481136725)	(98, 23.694582237473355)	(100, 23.694755293296936)	(102, 23.6950148770323)	(104, 23.69520716128072)	(106, 23.69549558765335)	(108, 23.6956109582024)	(110, 23.695716714539035)	(112, 23.695889770362612)	(114, 23.69613973988556)	(116, 23.696360866771244)	(118, 23.696543536807244)	(120, 23.69669736420598)	(122, 23.696937719516505)	(124, 23.69717807482703)	(126, 23.6974376585624)	(128, 23.697764541784714)	(130, 23.69801451130766)	(132, 23.698187567131235)	(134, 23.69837023716724)	(136, 23.698591364052923)	(138, 23.698822105151024)
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.463095821060564e-05)	(12, 5.355714985272677e-05)	(14, 7.140953313696901e-05)	(16, 8.926191642121127e-05)	(18, 0.00010711429970545353)	(20, 0.0001249666829896958)	(22, 0.00033919528240060283)	(24, 0.0014371168543815015)	(26, 14.956316110722623)	(28, 30.203706404703176)	(30, 30.496440859606537)	(32, 30.528994680525354)	(34, 31.308884970489117)	(36, 32.073636439427844)	(38, 32.07433268237593)	(40, 32.074529058592056)	(42, 32.135968035664774)	(44, 32.92237444552729)	(46, 32.92354377663241)	(48, 32.92363303854883)	(50, 32.92374015284854)	(52, 32.92385619333989)	(54, 32.92390082429809)	(56, 32.924025790981084)	(58, 32.924177536239)	(60, 32.924248945772135)	(62, 32.924382838646764)	(64, 32.92456136247961)	(66, 32.924704181545884)	(68, 32.92483807442052)	(70, 32.925043376828285)	(72, 32.92523082685277)	(74, 32.92537364591904)	(76, 32.92551646498532)	(78, 32.92563250547666)	(80, 32.925739619776365)	(82, 32.925873512651)	(84, 32.92601633171728)	(86, 32.92619485555012)	(88, 32.926382305574606)	(90, 32.92656082940745)	(92, 32.92679291039014)	(94, 32.92713210567254)	(96, 32.92735526046359)	(98, 32.92751593191315)	(100, 32.92768552955435)	(102, 32.92792653672869)	(104, 32.92816754390303)	(106, 32.92841747726901)	(108, 32.92861385348513)	(110, 32.928765598743055)	(112, 32.92900660591739)	(114, 32.92923868690008)	(116, 32.92942613692456)	(118, 32.92965821790726)	(120, 32.92996170842309)	(122, 32.930283051322206)	(124, 32.93048835372998)	(126, 32.930640098987894)	(128, 32.93087217997059)	(130, 32.931300637169414)	(132, 32.95848981691131)	(134, 32.95881115981043)	(136, 32.95900753602656)	(138, 32.9592931741591)
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00023902220795171114)	(24, 0.0003983703465861852)	(26, 1.4490522171899194)	(28, 2.901590174912468)	(30, 2.915871751837583)	(32, 2.9158916703549123)	(34, 2.915931507389571)	(36, 2.9159514259069)	(38, 2.9159912629415587)	(40, 2.927922454821815)	(42, 2.9513267126837537)	(44, 3.1477631305854015)	(46, 3.1482411750013046)	(48, 3.1482411750013046)	(50, 3.1482411750013046)	(52, 3.1482411750013046)	(54, 3.148261093518634)	(56, 3.148340767587951)	(58, 3.148400523139939)	(60, 3.1485001157265855)	(62, 3.1485598712785734)	(64, 3.148639545347891)	(66, 3.1486793823825496)	(68, 3.148699300899879)	(70, 3.1487192194172082)	(72, 3.148759056451867)	(74, 3.148778974969196)	(76, 3.148898486073172)	(78, 3.148918404590501)	(80, 3.148918404590501)	(82, 3.14895824162516)	(84, 3.149037915694477)	(86, 3.1490777527291356)	(88, 3.1490777527291356)	(90, 3.1490777527291356)	(92, 3.1490777527291356)	(94, 3.1490777527291356)	(96, 3.149177345315782)	(98, 3.14923710086777)	(100, 3.149396449006405)	(102, 3.149396449006405)	(104, 3.1494562045583927)	(106, 3.1495159601103806)	(108, 3.1495159601103806)	(110, 3.149595634179698)	(112, 3.149595634179698)	(114, 3.1496553897316857)	(116, 3.1496952267663443)	(118, 3.149874493422308)	(120, 3.150013923043613)	(122, 3.1500537600782716)	(124, 3.1500935971129302)	(126, 3.1502131082169065)	(128, 3.1502927822862237)	(130, 3.1504122933901995)	(132, 3.1669446627735263)	(134, 3.169374721887702)	(136, 3.169454395957019)	(138, 3.169573907060995)
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.0477546581882195e-05)	(9, 3.0477546581882195e-05)	(10, 3.0477546581882195e-05)	(12, 4.571631987282329e-05)	(14, 9.143263974564658e-05)	(16, 0.00012191018632752878)	(18, 0.00012191018632752878)	(20, 0.00012191018632752878)	(22, 0.00016762650620035207)	(24, 0.0007619386645470548)	(26, 5.437590518313348)	(28, 10.91021497642257)	(30, 10.966644153918924)	(32, 11.071944077359326)	(34, 11.177685925225168)	(36, 11.177701163998458)	(38, 11.177777357864914)	(40, 11.185381505737094)	(42, 11.225901403917707)	(44, 11.61698928165642)	(46, 11.61781217541413)	(48, 11.617888369280584)	(50, 11.617949324373747)	(52, 11.61797980192033)	(54, 11.618086473333367)	(56, 11.61816266719982)	(58, 11.618208383519693)	(60, 11.618254099839566)	(62, 11.618284577386149)	(64, 11.618345532479312)	(66, 11.618376010025894)	(68, 11.618436965119058)	(70, 11.61849792021222)	(72, 11.618528397758803)	(74, 11.618589352851966)	(76, 11.618604591625257)	(78, 11.618665546718422)	(80, 11.618741740584877)	(82, 11.618741740584877)	(84, 11.618772218131458)	(86, 11.61881793445133)	(88, 11.618939844637659)	(90, 11.619061754823985)	(92, 11.61910747114386)	(94, 11.619229381330186)	(96, 11.619381769063096)	(98, 11.619534156796005)	(100, 11.619717022075497)	(102, 11.61994560367486)	(104, 11.62008275263448)	(106, 11.620250379140678)	(108, 11.620296095460553)	(110, 11.620478960740044)	(112, 11.620631348472953)	(114, 11.620768497432572)	(116, 11.621042795351809)	(118, 11.62124089940459)	(120, 11.621362809590918)	(122, 11.621469481003956)	(124, 11.62154567487041)	(126, 11.621637107510155)	(128, 11.621774256469774)	(130, 11.621957121749265)	(132, 11.62201807684243)	(134, 11.625736337525417)	(136, 11.629271732928917)	(138, 11.629454598208408)
